"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","endoplasmic reticulum lumen","15","39","322","20808","2.30e-16","3.11e-14","24.85","3.00e-14","2.65e-14","8.87e-18","IGFBP5,SDC2,COL11A1,IGFBP3,ADAM10,LAMC1,ADAM17,COL2A1,COL1A2,CDH2,COL4A1,GPC3,COL4A5,TIMP1,FBN1"
"GOTERM_CC_DIRECT","extracellular matrix","15","39","492","20808","8.18e-14","5.52e-12","16.27","1.10e-11","4.70e-12","4.93e-15","FBN2,LAMA1,SDC2,COL11A1,FBLN1,LAMC1,COL2A1,EFEMP1,COL1A2,CDH2,COL4A1,MFAP2,COL4A5,TIMP1,FBN1"
"GOTERM_CC_DIRECT","basement membrane","8","39","102","20808","6.15e-10","2.77e-8","41.85","8.30e-8","2.36e-8","1.37e-11","COL2A1,COL4A1,LAMA1,COL4A5,FBLN1,TIMP1,LAMC1,FBN1"
"GOTERM_CC_DIRECT","focal adhesion","9","39","438","20808","1.02e-6","3.36e-5","10.96","1.37e-4","2.87e-5","9.05e-8","ADAM17,CDH2,ITGB5,FAT1,MYH9,ADAM10,ITGAV,FERMT2,PTK2"
"GOTERM_CC_DIRECT","collagen trimer","6","39","104","20808","1.25e-6","3.36e-5","30.78","1.68e-4","2.87e-5","3.85e-8","COL2A1,COL1A2,COL4A1,COL11A1,COL4A5,TIMP1"
"GOTERM_CC_DIRECT","extracellular space","15","39","1895","20808","3.04e-6","6.84e-5","4.22","4.10e-4","5.82e-5","7.08e-7","FBN2,IGFBP5,LAMA1,COL11A1,IGFBP3,FBLN1,LAMC1,PRTG,COL2A1,EFEMP1,COL1A2,COL4A1,COL4A5,TIMP1,FBN1"
"GOTERM_CC_DIRECT","cell surface","10","39","701","20808","3.60e-6","6.95e-5","7.61","4.86e-4","5.92e-5","4.64e-7","ADAM17,CDH2,ITGB5,SDC2,CLSTN1,GPC3,MYH9,ADAM10,ITGAV,FERMT2"
"GOTERM_CC_DIRECT","extracellular region","17","39","2693","20808","7.85e-6","1.32e-4","3.37","1.06e-3","1.13e-4","2.29e-6","FBN2,IGFBP5,LAMA1,COL11A1,IGFBP3,CLSTN1,FBLN1,LAMC1,COL2A1,EFEMP1,COL1A2,COL4A1,MFAP2,CDH11,COL4A5,TIMP1,FBN1"
"GOTERM_CC_DIRECT","adherens junction","6","39","198","20808","2.88e-5","4.33e-4","16.17","3.89e-3","3.69e-4","1.73e-6","CDH2,CDH11,FAT1,MYH9,ADAM10,FERMT2"
"GOTERM_CC_DIRECT","extracellular exosome","14","39","2242","20808","1.03e-4","1.39e-3","3.33","1.38e-2","1.18e-3","3.02e-5","ITGB5,CEMIP2,ADAM10,FBLN1,LAMC1,MOB1B,MOB1A,EFEMP1,COL1A2,CDH11,FAT1,MYH9,ITGAV,TIMP1"
