"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","cell adhesion","14","39","677","19512","2.29e-10","1.13e-7","10.35","1.13e-7","1.05e-7","2.17e-11","PCDHGB6,ITGB5,LAMA1,CLSTN1,LAMC1,PCDH18,ADAM17,PCDHB2,CDH2,CDH11,FAT1,MYH9,ITGAV,FERMT2"
"GOTERM_BP_DIRECT","cell migration","9","39","306","19512","1.09e-7","2.67e-5","14.71","5.35e-5","2.49e-5","7.16e-9","CDH2,ITGB5,SDC2,CDH11,FAT1,GPC3,ITGAV,LAMC1,PTK2"
"GOTERM_BP_DIRECT","homophilic cell-cell adhesion","7","39","171","19512","9.08e-7","1.37e-4","20.48","4.48e-4","1.28e-4","4.26e-8","PCDHGB6,PCDHB2,CDH2,CDH11,CLSTN1,FAT1,PCDH18"
"GOTERM_BP_DIRECT","embryonic eye morphogenesis","4","39","11","19512","1.11e-6","1.37e-4","181.93","5.48e-4","1.28e-4","4.45e-9","FBN2,EFEMP1,MFAP2,FBN1"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","6","39","114","19512","2.68e-6","2.64e-4","26.33","1.32e-3","2.46e-4","9.71e-8","ITGB5,MYH9,ADAM10,ITGAV,FERMT2,PTK2"
"GOTERM_BP_DIRECT","cell-cell adhesion","7","39","225","19512","4.46e-6","3.67e-4","15.57","2.20e-3","3.41e-4","2.78e-7","PRTG,CDH2,ITGB5,CDH11,FAT1,MYH9,ITGAV"
"GOTERM_BP_DIRECT","camera-type eye development","5","39","74","19512","1.28e-5","8.99e-4","33.80","6.27e-3","8.37e-4","3.56e-7","FBN2,EFEMP1,FAT1,HESX1,FBN1"
"GOTERM_BP_DIRECT","hippo signaling","4","39","28","19512","2.16e-5","1.21e-3","71.47","1.06e-2","1.13e-3","2.69e-7","MOB1B,LATS1,MOB1A,TEAD1"
"GOTERM_BP_DIRECT","post-embryonic eye morphogenesis","3","39","4","19512","2.21e-5","1.21e-3","375.23","1.08e-2","1.13e-3","2.95e-8","EFEMP1,MFAP2,FBN1"
"GOTERM_BP_DIRECT","endodermal cell differentiation","4","39","37","19512","5.06e-5","2.49e-3","54.09","2.46e-2","2.32e-3","8.58e-7","ITGB5,COL11A1,MYH9,ITGAV"
"GOTERM_BP_DIRECT","cell adhesion mediated by integrin","4","39","39","19512","5.93e-5","2.66e-3","51.31","2.88e-2","2.48e-3","1.07e-6","ADAM17,ITGB5,ITGAV,FBN1"
"GOTERM_BP_DIRECT","wound healing, spreading of epidermal cells","3","39","16","19512","4.36e-4","1.79e-2","93.81","1.93e-1","1.67e-2","4.06e-6","ADAM17,ITGB5,ITGAV"
"GOTERM_BP_DIRECT","regulation of growth","3","39","23","19512","9.11e-4","3.45e-2","65.26","3.62e-1","3.21e-2","1.27e-5","IGFBP5,IGFBP3,GPC3"
"GOTERM_BP_DIRECT","membrane protein ectodomain proteolysis","3","39","24","19512","9.92e-4","3.49e-2","62.54","3.87e-1","3.25e-2","1.45e-5","ADAM17,MYH9,ADAM10"
"GOTERM_BP_DIRECT","transforming growth factor beta receptor signaling pathway","4","39","109","19512","1.24e-3","4.08e-2","18.36","4.58e-1","3.80e-2","6.52e-5","COL1A2,ITGB5,FERMT2,PTK2"
"GOTERM_BP_DIRECT","adherens junction organization","3","39","34","19512","1.99e-3","6.14e-2","44.14","6.26e-1","5.71e-2","4.23e-5","CDH2,CDH11,ADAM10"
"GOTERM_BP_DIRECT","neuromuscular junction development","3","39","36","19512","2.23e-3","6.47e-2","41.69","6.68e-1","6.03e-2","5.04e-5","COL4A1,COL4A5,LAMC1"
"GOTERM_BP_DIRECT","angiogenesis","5","39","292","19512","2.43e-3","6.66e-2","8.57","6.99e-1","6.20e-2","2.75e-4","COL4A1,CEMIP2,MYH9,ITGAV,PTK2"
"GOTERM_BP_DIRECT","positive regulation of cell migration","5","39","300","19512","2.68e-3","6.95e-2","8.34","7.34e-1","6.47e-2","3.12e-4","ADAM17,ADAM10,ITGAV,FERMT2,PTK2"
"GOTERM_BP_DIRECT","cell-cell adhesion mediated by cadherin","3","39","42","19512","3.03e-3","7.46e-2","35.74","7.76e-1","6.95e-2","8.03e-5","CDH2,CDH11,FAT1"
"GOTERM_BP_DIRECT","skeletal system development","4","39","154","19512","3.32e-3","7.80e-2","13.00","8.06e-1","7.26e-2","2.48e-4","COL2A1,COL1A2,CDH11,FBN1"
"GOTERM_BP_DIRECT","calcium-dependent cell-cell adhesion","3","39","47","19512","3.78e-3","8.09e-2","31.93","8.45e-1","7.53e-2","1.13e-4","PCDHB2,CDH2,CDH11"
"GOTERM_BP_DIRECT","substrate adhesion-dependent cell spreading","3","39","48","19512","3.94e-3","8.09e-2","31.27","8.57e-1","7.53e-2","1.20e-4","ITGAV,LAMC1,FERMT2"
"GOTERM_BP_DIRECT","cell motility","3","39","48","19512","3.94e-3","8.09e-2","31.27","8.57e-1","7.53e-2","1.20e-4","ADAM17,MYH9,PTK2"
"GOTERM_BP_DIRECT","anatomical structure morphogenesis","4","39","170","19512","4.38e-3","8.64e-2","11.77","8.85e-1","8.05e-2","3.61e-4","FBN2,FAT1,GPC3,FBN1"
"GOTERM_BP_DIRECT","tissue development","3","39","54","19512","4.96e-3","9.40e-2","27.79","9.14e-1","8.75e-2","1.71e-4","LAMA1,ITGAV,LAMC1"
"GOTERM_BP_DIRECT","regulation of protein autophosphorylation","2","39","3","19512","5.83e-3","1.06e-1","333.54","9.44e-1","9.91e-2","1.17e-5","MOB1B,MOB1A"
"GOTERM_BP_DIRECT","collagen fibril organization","3","39","65","19512","7.11e-3","1.25e-1","23.09","9.70e-1","1.16e-1","2.96e-4","COL2A1,COL1A2,COL11A1"
"GOTERM_BP_DIRECT","heart morphogenesis","3","39","66","19512","7.32e-3","1.25e-1","22.74","9.73e-1","1.16e-1","3.10e-4","COL2A1,COL11A1,PTK2"
"GOTERM_BP_DIRECT","sequestering of TGFbeta in extracellular matrix","2","39","4","19512","7.77e-3","1.28e-1","250.15","9.79e-1","1.19e-1","2.33e-5","FBN2,FBN1"
"GOTERM_BP_DIRECT","epidermal growth factor receptor signaling pathway","3","39","71","19512","8.43e-3","1.30e-1","21.14","9.85e-1","1.21e-1","3.84e-4","ADAM17,EFEMP1,PTK2"
"GOTERM_BP_DIRECT","positive regulation of cell adhesion","3","39","71","19512","8.43e-3","1.30e-1","21.14","9.85e-1","1.21e-1","3.84e-4","LAMA1,ITGAV,LAMC1"
"GOTERM_BP_DIRECT","visual perception","4","39","221","19512","9.03e-3","1.35e-1","9.06","9.89e-1","1.26e-1","9.65e-4","COL2A1,EFEMP1,COL11A1,LAMC1"
"GOTERM_BP_DIRECT","regulation of cell growth","3","39","81","19512","1.09e-2","1.57e-1","18.53","9.95e-1","1.47e-1","5.66e-4","IGFBP5,IGFBP3,CLSTN1"
"GOTERM_BP_DIRECT","retinal blood vessel morphogenesis","2","39","6","19512","1.16e-2","1.59e-1","166.77","9.97e-1","1.48e-1","5.81e-5","COL4A1,LAMA1"
"GOTERM_BP_DIRECT","regulation of basement membrane organization","2","39","6","19512","1.16e-2","1.59e-1","166.77","9.97e-1","1.48e-1","5.81e-5","LAMA1,LAMC1"
"GOTERM_BP_DIRECT","positive regulation of cell growth","3","39","90","19512","1.33e-2","1.67e-1","16.68","9.99e-1","1.56e-1","7.69e-4","ADAM17,ADAM10,TEAD1"
"GOTERM_BP_DIRECT","detection of muscle stretch","2","39","7","19512","1.36e-2","1.67e-1","142.95","9.99e-1","1.56e-1","8.12e-5","CDH2,PTK2"
"GOTERM_BP_DIRECT","signaling receptor ligand precursor processing","2","39","7","19512","1.36e-2","1.67e-1","142.95","9.99e-1","1.56e-1","8.12e-5","ADAM17,ADAM10"
"GOTERM_BP_DIRECT","cartilage development","3","39","91","19512","1.36e-2","1.67e-1","16.49","9.99e-1","1.56e-1","7.94e-4","COL2A1,COL11A1,TIMP1"
"GOTERM_BP_DIRECT","protein phosphorylation","4","39","261","19512","1.41e-2","1.70e-1","7.67","9.99e-1","1.58e-1","1.78e-3","LATS1,IGFBP3,ADAM10,TRPM7"
