"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","extracellular exosome","29","53","2242","20808","2.19e-14","4.97e-12","5.08","4.96e-12","4.12e-12","4.30e-15","DDR1,LAMA5,COL18A1,SDC4,LAMC1,ACTB,CDH1,DAG1,FLNA,FLNB,GPC4,MYH10,DYNC1H1,IGFBP2,ADAM10,HSPG2,RHOA,BCAM,KRT19,KRT18,COL1A2,COL6A2,COL6A1,MYH9,DSG2,AGRN,TLN1,DSC2,VCL"
"GOTERM_CC_DIRECT","focal adhesion","15","53","438","20808","2.33e-12","2.64e-10","13.45","5.28e-10","2.19e-10","1.67e-13","SDC4,PXN,ADAM10,HSPG2,RHOA,ACTB,DAG1,ZYX,FLNA,MYH9,ITGA6,FLNB,TLN2,TLN1,VCL"
"GOTERM_CC_DIRECT","adherens junction","11","53","198","20808","5.42e-11","4.10e-9","21.81","1.23e-8","3.39e-9","2.36e-12","KRT18,CDH3,CDH1,DAG1,ZYX,MYH9,ADAM10,TLN1,DSC2,VCL,ACTB"
"GOTERM_CC_DIRECT","extracellular region","26","53","2693","20808","7.87e-10","4.47e-8","3.79","1.79e-7","3.70e-8","2.05e-10","DDR1,LAMA5,COL18A1,ROCK1,SDC4,LAMC1,HAPLN3,CDH1,C1QBP,DAG1,FLNA,GPC4,DYNC1H1,IGFBP4,IGFBP2,HSPG2,COL1A1,BCAM,COL1A2,MMP16,COL6A2,COL6A1,COL9A3,AGRN,TLN1,VCL"
"GOTERM_CC_DIRECT","extracellular matrix","13","53","492","20808","2.34e-9","1.06e-7","10.37","5.31e-7","8.79e-8","2.19e-10","LAMA5,COL18A1,LAMC1,HSPG2,COL1A1,BCAM,COL1A2,MMP16,COL6A2,COL6A1,DAG1,COL9A3,AGRN"
"GOTERM_CC_DIRECT","anchoring junction","12","53","423","20808","6.15e-9","2.00e-7","11.14","1.40e-6","1.66e-7","5.36e-10","YAP1,CDH1,PXN,ZYX,ADAM10,FLNA,DSG2,TLN2,TLN1,PCDH1,DSC2,VCL"
"GOTERM_CC_DIRECT","basement membrane","8","53","102","20808","6.16e-9","2.00e-7","30.79","1.40e-6","1.66e-7","1.86e-10","LAMA5,COL18A1,COL6A1,DAG1,COL9A3,LAMC1,AGRN,HSPG2"
"GOTERM_CC_DIRECT","endoplasmic reticulum lumen","10","53","322","20808","9.33e-8","2.65e-6","12.19","2.12e-5","2.19e-6","7.41e-9","COL1A1,COL18A1,COL1A2,IGFBP4,COL6A2,COL6A1,DAG1,ADAM10,COL9A3,LAMC1"
"GOTERM_CC_DIRECT","cell surface","13","53","701","20808","1.17e-7","2.94e-6","7.28","2.65e-5","2.44e-6","1.57e-8","SDC4,ADAM10,HMMR,BCAM,MMP16,C1QBP,DAG1,MYH9,DSG2,ITGA6,GPC4,TLN1,MYH10"
"GOTERM_CC_DIRECT","cell cortex","8","53","188","20808","4.17e-7","9.47e-6","16.71","9.47e-5","7.84e-6","2.40e-8","DYNC1H1,DCTN1,PXN,MYH9,FLNA,FLNB,MYH10,RHOA"
"GOTERM_CC_DIRECT","cytoskeleton","17","53","1569","20808","7.73e-7","1.56e-5","4.25","1.76e-4","1.29e-5","1.78e-7","DYNC1H1,ROCK1,DCTN1,PXN,HMMR,RHOA,ACTB,KRT19,KRT18,DAG1,ZYX,FLNA,MYH9,FLNB,TLN2,TLN1,VCL"
"GOTERM_CC_DIRECT","cell-cell junction","8","53","208","20808","8.24e-7","1.56e-5","15.10","1.87e-4","1.29e-5","5.25e-8","YAP1,PXN,DAG1,FLNA,DSG2,PCDH1,VCL,ACTB"
"GOTERM_CC_DIRECT","plasma membrane","32","53","5927","20808","2.71e-6","4.73e-5","2.12","6.15e-4","3.92e-5","1.26e-6","DDR1,YAP1,ROCK1,SDC4,PXN,HMMR,ACTB,CDH3,CDH1,C1QBP,DAG1,FLNA,FLNB,TRPM7,GPC4,PCDH1,MYH10,ADAM10,HSPG2,RHOA,BCAM,KRT19,MMP16,ZYX,MYH9,ITGA6,DSG2,TLN2,AGRN,TLN1,DSC2,VCL"
"GOTERM_CC_DIRECT","collagen trimer","6","53","104","20808","6.10e-6","9.90e-5","22.65","1.38e-3","8.20e-5","2.56e-7","COL1A1,COL18A1,COL1A2,COL6A2,COL6A1,COL9A3"
"GOTERM_CC_DIRECT","costamere","4","53","16","20808","8.06e-6","1.19e-4","98.15","1.83e-3","9.87e-5","6.67e-8","KRT19,SDC4,DAG1,VCL"
"GOTERM_CC_DIRECT","Golgi lumen","6","53","111","20808","8.40e-6","1.19e-4","21.22","1.90e-3","9.87e-5","3.76e-7","SDC4,MMP16,DAG1,GPC4,AGRN,HSPG2"
"GOTERM_CC_DIRECT","lamellipodium","7","53","195","20808","8.92e-6","1.19e-4","14.09","2.02e-3","9.87e-5","6.10e-7","ROCK1,CDH1,PXN,DAG1,MYH10,RHOA,ACTB"
"GOTERM_CC_DIRECT","actin cytoskeleton","8","53","302","20808","9.68e-6","1.22e-4","10.40","2.19e-3","1.01e-4","9.02e-7","CDH1,ZYX,MYH9,FLNA,FLNB,TLN2,VCL,ACTB"
"GOTERM_CC_DIRECT","cell junction","7","53","211","20808","1.40e-5","1.65e-4","13.02","3.17e-3","1.37e-4","1.04e-6","YAP1,CDH3,CDH1,DSG2,PCDH1,DSC2,RHOA"
"GOTERM_CC_DIRECT","glutamatergic synapse","10","53","594","20808","1.46e-5","1.65e-4","6.61","3.30e-3","1.37e-4","2.15e-6","LAMA5,CDH1,C1QBP,DAG1,ADAM10,FLNA,GPC4,MYH10,RHOA,ACTB"
"GOTERM_CC_DIRECT","brush border","5","53","64","20808","1.97e-5","2.13e-4","30.67","4.47e-3","1.77e-4","6.01e-7","MYH9,FLNB,MYH10,VCL,ACTB"
"GOTERM_CC_DIRECT","extracellular space","16","53","1895","20808","4.04e-5","4.17e-4","3.31","9.13e-3","3.45e-4","1.19e-5","DDR1,LAMA5,COL18A1,IGFBP4,IGFBP2,LAMC1,HAPLN3,HSPG2,ACTB,COL1A1,COL1A2,MMP16,C1QBP,COL6A2,DAG1,COL9A3"
"GOTERM_CC_DIRECT","neuromuscular junction","5","53","86","20808","6.33e-5","5.99e-4","22.83","1.43e-2","4.96e-4","2.63e-6","LAMA5,MYH9,LAMC1,MYH10,CRKL"
"GOTERM_CC_DIRECT","stress fiber","5","53","86","20808","6.33e-5","5.99e-4","22.83","1.43e-2","4.96e-4","2.63e-6","PXN,ZYX,MYH9,FLNB,MYH10"
"GOTERM_CC_DIRECT","ruffle","5","53","109","20808","1.59e-4","1.44e-3","18.01","3.54e-2","1.20e-3","8.45e-6","ROCK1,MYH9,TRPM7,TLN2,TLN1"
"GOTERM_CC_DIRECT","sarcolemma","5","53","118","20808","2.16e-4","1.88e-3","16.64","4.78e-2","1.56e-3","1.24e-5","KRT19,COL6A2,COL6A1,DAG1,VCL"
"GOTERM_CC_DIRECT","membrane","36","53","9038","20808","4.35e-4","3.65e-3","1.56","9.40e-2","3.03e-3","2.74e-4","DDR1,YAP1,ROCK1,SDC4,DCTN1,HMMR,ACTB,CDH3,CDH1,C1QBP,DAG1,FLNA,FLNB,TRPM7,GPC4,PCDH1,MYH10,EMD,DYNC1H1,SUN1,ADAM10,HSPG2,RHOA,COL1A1,BCAM,MMP16,COL6A2,COL6A1,MYH9,ITGA6,DSG2,TLN2,AGRN,TLN1,DSC2,VCL"
"GOTERM_CC_DIRECT","lysosomal lumen","4","53","99","20808","1.95e-3","1.58e-2","15.86","3.58e-1","1.31e-2","1.18e-4","SDC4,GPC4,AGRN,HSPG2"
"GOTERM_CC_DIRECT","cortical cytoskeleton","3","53","29","20808","2.38e-3","1.80e-2","40.61","4.18e-1","1.49e-2","5.44e-5","MYH9,FLNA,ACTB"
"GOTERM_CC_DIRECT","desmosome","3","53","29","20808","2.38e-3","1.80e-2","40.61","4.18e-1","1.49e-2","5.44e-5","CDH1,DSG2,DSC2"
"GOTERM_CC_DIRECT","apical junction complex","3","53","31","20808","2.72e-3","1.99e-2","37.99","4.61e-1","1.65e-2","6.67e-5","CDH1,RHOA,ACTB"
"GOTERM_CC_DIRECT","cytoplasmic side of plasma membrane","4","53","114","20808","2.91e-3","2.07e-2","13.78","4.84e-1","1.71e-2","2.03e-4","CDH1,MYH9,MYH10,RHOA"
"GOTERM_CC_DIRECT","cell periphery","4","53","116","20808","3.06e-3","2.10e-2","13.54","5.01e-1","1.74e-2","2.17e-4","KRT19,KRT18,HSPG2,RHOA"
