"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","cell adhesion","23","52","677","19512","3.19e-19","2.52e-16","12.75","2.52e-16","2.45e-16","2.43e-20","DDR1,LAMA5,COL18A1,PXN,LAMC1,HAPLN3,RHOA,COL1A1,BCAM,CDH3,CDH1,COL6A2,COL6A1,ZYX,MYH9,DSG2,ITGA6,TLN2,PCDH1,TLN1,MYH10,DSC2,VCL"
"GOTERM_BP_DIRECT","cell-cell adhesion","9","52","225","19512","1.15e-7","4.53e-5","15.01","9.05e-5","4.40e-5","7.35e-9","KRT18,CDH3,CDH1,MYH9,DSG2,ITGA6,TLN2,TLN1,DSC2"
"GOTERM_BP_DIRECT","cell migration","9","52","306","19512","1.18e-6","3.11e-4","11.04","9.33e-4","3.03e-4","1.04e-7","LAMA5,CDH3,SDC4,CDH1,PXN,LAMC1,GPC4,RHOA,CRKL"
"GOTERM_BP_DIRECT","actin cytoskeleton organization","8","52","239","19512","2.77e-6","5.47e-4","12.56","2.19e-3","5.32e-4","2.13e-7","ROCK1,MYH9,FLNA,FLNB,TLN2,TLN1,MYH10,RHOA"
"GOTERM_BP_DIRECT","platelet aggregation","5","52","48","19512","7.40e-6","1.17e-3","39.09","5.82e-3","1.13e-3","1.73e-7","MYH9,FLNA,TLN1,VCL,ACTB"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","6","52","114","19512","1.18e-5","1.55e-3","19.75","9.28e-3","1.51e-3","5.70e-7","LAMA5,ZYX,MYH9,ADAM10,ITGA6,TLN1"
"GOTERM_BP_DIRECT","cell morphogenesis","6","52","121","19512","1.58e-5","1.69e-3","18.61","1.24e-2","1.64e-3","8.10e-7","YAP1,CDH3,CDH1,COL6A1,MYH9,RHOA"
"GOTERM_BP_DIRECT","regulation of cell migration","6","52","123","19512","1.71e-5","1.69e-3","18.30","1.34e-2","1.64e-3","8.91e-7","LAMA5,ROCK1,FLNA,RHOA,VCL,CRKL"
"GOTERM_BP_DIRECT","nuclear migration","4","52","24","19512","3.28e-5","2.87e-3","62.54","2.55e-2","2.79e-3","4.58e-7","DYNC1H1,DCTN1,MYH10,LMNB2"
"GOTERM_BP_DIRECT","regulation of focal adhesion assembly","4","52","26","19512","4.19e-5","3.31e-3","57.73","3.25e-2","3.22e-3","6.42e-7","ROCK1,TLN1,RHOA,VCL"
"GOTERM_BP_DIRECT","actomyosin structure organization","4","52","30","19512","6.50e-5","4.66e-3","50.03","5.00e-2","4.53e-3","1.17e-6","ROCK1,MYH9,TRPM7,MYH10"
"GOTERM_BP_DIRECT","cell-cell junction assembly","4","52","38","19512","1.33e-4","8.75e-3","39.50","9.97e-2","8.50e-3","3.10e-6","CDH3,CDH1,TLN2,TLN1"
"GOTERM_BP_DIRECT","cell-matrix adhesion","5","52","108","19512","1.82e-4","1.10e-2","17.37","1.33e-1","1.07e-2","1.00e-5","BCAM,ZYX,ITGA6,RHOA,VCL"
"GOTERM_BP_DIRECT","substrate adhesion-dependent cell spreading","4","52","48","19512","2.68e-4","1.51e-2","31.27","1.90e-1","1.47e-2","8.00e-6","LAMA5,PXN,LAMC1,RHOA"
"GOTERM_BP_DIRECT","lung epithelial cell differentiation","3","52","10","19512","2.97e-4","1.56e-2","112.57","2.09e-1","1.52e-2","2.11e-6","YAP1,COL6A1,SAV1"
"GOTERM_BP_DIRECT","skin morphogenesis","3","52","12","19512","4.35e-4","2.14e-2","93.81","2.90e-1","2.08e-2","3.86e-6","COL1A1,COL1A2,ITGA6"
"GOTERM_BP_DIRECT","response to xenobiotic stimulus","6","52","260","19512","5.76e-4","2.62e-2","8.66","3.65e-1","2.55e-2","6.44e-5","COL1A1,COL18A1,CDH1,COL6A1,IGFBP2,HSPG2"
"GOTERM_BP_DIRECT","wound healing, spreading of cells","3","52","14","19512","5.97e-4","2.62e-2","80.41","3.76e-1","2.55e-2","6.37e-6","DDR1,FLNA,RHOA"
"GOTERM_BP_DIRECT","skeletal system development","5","52","154","19512","6.99e-4","2.90e-2","12.18","4.24e-1","2.82e-2","5.53e-5","COL1A1,COL18A1,COL1A2,MMP16,HAPLN3"
"GOTERM_BP_DIRECT","response to mechanical stimulus","4","52","69","19512","7.81e-4","3.08e-2","21.75","4.60e-1","2.99e-2","3.41e-5","COL1A1,SUN1,COL6A1,IGFBP2"
"GOTERM_BP_DIRECT","blood vessel development","4","52","71","19512","8.48e-4","3.19e-2","21.14","4.88e-1","3.10e-2","3.82e-5","COL1A1,TCF7L2,COL1A2,CRKL"
"GOTERM_BP_DIRECT","cytoskeleton organization","5","52","168","19512","9.67e-4","3.47e-2","11.17","5.34e-1","3.37e-2","8.35e-5","MYH9,AGRN,RHOA,LMNB2,ACTB"
"GOTERM_BP_DIRECT","homophilic cell-cell adhesion","5","52","171","19512","1.03e-3","3.54e-2","10.97","5.57e-1","3.44e-2","9.08e-5","CDH3,CDH1,DSG2,PCDH1,DSC2"
"GOTERM_BP_DIRECT","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane","3","52","20","19512","1.23e-3","4.06e-2","56.28","6.23e-1","3.95e-2","1.97e-5","DAG1,ADAM10,GPC4"
"GOTERM_BP_DIRECT","membrane protein ectodomain proteolysis","3","52","24","19512","1.78e-3","5.62e-2","46.90","7.55e-1","5.47e-2","3.47e-5","DAG1,MYH9,ADAM10"
"GOTERM_BP_DIRECT","ossification","4","52","113","19512","3.22e-3","9.69e-2","13.28","9.21e-1","9.42e-2","2.33e-4","COL1A1,SUN1,MMP16,COL6A1"
"GOTERM_BP_DIRECT","muscle organ development","4","52","115","19512","3.38e-3","9.69e-2","13.05","9.31e-1","9.42e-2","2.49e-4","LAMA5,COL6A1,FLNB,EMD"
"GOTERM_BP_DIRECT","maintenance of blood-brain barrier","3","52","34","19512","3.56e-3","9.69e-2","33.11","9.40e-1","9.42e-2","1.01e-4","LAMC1,VCL,ACTB"
