"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","focal adhesion","18","53","438","20808","2.46e-16","5.42e-14","16.13","4.88e-14","4.26e-14","1.47e-17","ITGB1,ITGB5,SDC4,PXN,RHOA,ACTB,FERMT1,ZYX,FLNA,MYH9,ITGA6,FLNB,TLN2,RAC1,TLN1,FERMT2,VCL,BCAR1"
"GOTERM_CC_DIRECT","anchoring junction","16","53","423","20808","7.38e-14","8.12e-12","14.85","1.62e-11","6.39e-12","4.81e-15","ITGB1,YAP1,PXN,FERMT1,CDH1,ZYX,FLNA,DSG2,TLN2,AMOTL1,PCDH1,TLN1,DSC2,FERMT2,VCL,BCAR1"
"GOTERM_CC_DIRECT","adherens junction","11","53","198","20808","5.42e-11","3.97e-9","21.81","1.19e-8","3.12e-9","2.36e-12","KRT18,CDH3,CDH1,ZYX,MYH9,NF2,TLN1,DSC2,FERMT2,VCL,ACTB"
"GOTERM_CC_DIRECT","plasma membrane","37","53","5927","20808","1.29e-9","7.08e-8","2.45","2.83e-7","5.57e-8","5.21e-10","ITGB1,YAP1,ITGB5,SDC4,WWC1,PXN,HMMR,ACTB,CDH3,CDH1,C1QBP,HYAL2,HAS3,FLNA,FLNB,RAC1,GPC4,PCDH1,MYH10,COL26A1,RHOA,FERMT1,KRT19,ZYX,MYH9,SDC1,ITGA6,DSG2,TLN2,NF2,AMOTL1,TLN1,CRK,BCAR1,DSC2,FERMT2,VCL"
"GOTERM_CC_DIRECT","cell junction","10","53","211","20808","2.41e-9","1.06e-7","18.61","5.30e-7","8.34e-8","1.24e-10","ITGB1,YAP1,FERMT1,CDH3,CDH1,DSG2,PCDH1,DSC2,RHOA,FERMT2"
"GOTERM_CC_DIRECT","extracellular exosome","23","53","2242","20808","5.07e-9","1.86e-7","4.03","1.12e-6","1.46e-7","1.24e-9","ITGB1,COL18A1,ITGB5,SDC4,RHOA,ACTB,KRT19,KRT18,CDH1,COL6A2,SPP1,FLNA,SDC1,MYH9,DSG2,FLNB,RAC1,GPC4,TLN1,MYH10,CRK,DSC2,VCL"
"GOTERM_CC_DIRECT","cell surface","14","53","701","20808","1.22e-8","3.83e-7","7.84","2.68e-6","3.01e-7","1.52e-9","ITGB1,ITGB5,SDC4,HMMR,C1QBP,HYAL2,SDC1,MYH9,DSG2,ITGA6,GPC4,TLN1,MYH10,FERMT2"
"GOTERM_CC_DIRECT","cell cortex","9","53","188","20808","2.05e-8","5.64e-7","18.79","4.51e-6","4.43e-7","1.04e-9","DCTN1,PXN,MYH9,FLNA,FLNB,RAC1,MYH10,RHOA,FERMT2"
"GOTERM_CC_DIRECT","lamellipodium","9","53","195","20808","2.72e-8","6.66e-7","18.12","5.99e-6","5.24e-7","1.44e-9","ITGB1,CDH1,PXN,NF2,RAC1,MYH10,RHOA,ACTB,BCAR1"
"GOTERM_CC_DIRECT","actin cytoskeleton","10","53","302","20808","5.40e-8","1.19e-6","13.00","1.19e-5","9.34e-7","4.02e-9","CDH1,ZYX,MYH9,FLNA,FLNB,TLN2,CRK,VCL,ACTB,BCAR1"
