"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","cell adhesion","25","53","677","19512","1.02e-21","7.83e-19","13.59","7.83e-19","7.50e-19","7.26e-23","ITGB1,COL18A1,ITGB5,PXN,HAPLN3,CDH3,CDH1,SPP1,RAC1,PCDH1,MYH10,RHOA,FERMT1,VCAN,COL6A2,ZYX,MYH9,ITGA6,DSG2,TLN2,TLN1,BCAR1,DSC2,FERMT2,VCL"
"GOTERM_BP_DIRECT","cell-matrix adhesion","10","53","108","19512","1.05e-11","3.83e-9","34.09","8.04e-9","3.67e-9","2.82e-13","ITGB1,FERMT1,ITGB5,SRF,ZYX,ITGA6,RAC1,RHOA,FERMT2,VCL"
"GOTERM_BP_DIRECT","cell-cell adhesion","12","53","225","19512","1.50e-11","3.83e-9","19.63","1.15e-8","3.67e-9","7.25e-13","ITGB1,KRT18,CDH3,ITGB5,CDH1,SRF,MYH9,DSG2,ITGA6,TLN2,TLN1,DSC2"
"GOTERM_BP_DIRECT","cell migration","13","53","306","19512","2.10e-11","4.03e-9","15.64","1.61e-8","3.87e-9","1.29e-12","ITGB1,ITGB5,SDC4,WWC1,PXN,RHOA,CDH3,CDH1,SDC1,RAC1,GPC4,CRK,BCAR1"
"GOTERM_BP_DIRECT","actin cytoskeleton organization","12","53","239","19512","2.87e-11","4.41e-9","18.48","2.20e-8","4.22e-9","1.48e-12","SRF,MYH9,FLNA,FLNB,NF2,RAC1,AMOTL1,TLN2,TLN1,MYH10,CRK,RHOA"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","9","53","114","19512","6.43e-10","8.22e-8","29.06","4.93e-7","7.88e-8","2.06e-11","ITGB1,FERMT1,ITGB5,ZYX,MYH9,ITGA6,TLN1,FERMT2,BCAR1"
"GOTERM_BP_DIRECT","hippo signaling","6","53","28","19512","1.04e-8","1.13e-6","78.89","7.94e-6","1.09e-6","1.08e-10","TEAD4,YAP1,WWC1,AMOTL1,TEAD2,SAV1"
"GOTERM_BP_DIRECT","positive regulation of stress fiber assembly","6","53","55","19512","3.47e-7","3.33e-5","40.16","2.66e-4","3.19e-5","7.85e-9","SDC4,PXN,NF2,RAC1,RHOA,FERMT2"
"GOTERM_BP_DIRECT","positive regulation of substrate adhesion-dependent cell spreading","5","53","45","19512","6.16e-6","5.25e-4","40.91","4.72e-3","5.03e-4","1.37e-7","C1QBP,FLNA,RAC1,CRK,FERMT2"
"GOTERM_BP_DIRECT","platelet aggregation","5","53","48","19512","8.00e-6","6.14e-4","38.35","6.12e-3","5.88e-4","1.91e-7","MYH9,FLNA,TLN1,VCL,ACTB"
"GOTERM_BP_DIRECT","stress fiber assembly","4","53","22","19512","2.65e-5","1.85e-3","66.94","2.01e-2","1.77e-3","3.42e-7","ITGB5,SRF,ZYX,RHOA"
"GOTERM_BP_DIRECT","regulation of cell shape","6","53","136","19512","3.05e-5","1.95e-3","16.24","2.31e-2","1.87e-3","1.80e-6","MYH9,NF2,RAC1,MYH10,CRK,FERMT2"
"GOTERM_BP_DIRECT","nuclear migration","4","53","24","19512","3.47e-5","2.05e-3","61.36","2.63e-2","1.96e-3","4.95e-7","DCTN1,MYH10,LMNB2,LMNB1"
"GOTERM_BP_DIRECT","cytoskeleton organization","6","53","168","19512","8.35e-5","4.58e-3","13.15","6.21e-2","4.39e-3","6.12e-6","MYH9,RAC1,RHOA,LMNB2,ACTB,LMNB1"
"GOTERM_BP_DIRECT","homophilic cell-cell adhesion","6","53","171","19512","9.08e-5","4.64e-3","12.92","6.73e-2","4.45e-3","6.77e-6","ITGB1,CDH3,CDH1,DSG2,PCDH1,DSC2"
"GOTERM_BP_DIRECT","cell-cell junction assembly","4","53","38","19512","1.41e-4","6.76e-3","38.75","1.03e-1","6.48e-3","3.34e-6","CDH3,CDH1,TLN2,TLN1"
"GOTERM_BP_DIRECT","symbiont entry into host cell","5","53","112","19512","2.25e-4","1.02e-2","16.44","1.59e-1","9.74e-3","1.31e-5","ITGB1,ITGB5,HYAL2,MYH9,MYH10"
"GOTERM_BP_DIRECT","positive regulation of stem cell population maintenance","4","53","48","19512","2.84e-4","1.15e-2","30.68","1.96e-1","1.10e-2","8.64e-6","TEAD4,YAP1,DSG2,ACTB"
"GOTERM_BP_DIRECT","substrate adhesion-dependent cell spreading","4","53","48","19512","2.84e-4","1.15e-2","30.68","1.96e-1","1.10e-2","8.64e-6","PXN,RAC1,RHOA,FERMT2"
"GOTERM_BP_DIRECT","cell morphogenesis","5","53","121","19512","3.03e-4","1.16e-2","15.21","2.07e-1","1.11e-2","1.91e-5","YAP1,CDH3,CDH1,MYH9,RHOA"
"GOTERM_BP_DIRECT","regulation of cell migration","5","53","123","19512","3.22e-4","1.18e-2","14.97","2.19e-1","1.13e-2","2.07e-5","FLNA,RAC1,AMOTL1,RHOA,VCL"
"GOTERM_BP_DIRECT","neuron migration","5","53","136","19512","4.72e-4","1.64e-2","13.53","3.04e-1","1.58e-2","3.35e-5","SRF,RAC1,MYH10,CRK,RHOA"
"GOTERM_BP_DIRECT","epithelial cell-cell adhesion","3","53","13","19512","5.33e-4","1.78e-2","84.96","3.36e-1","1.70e-2","5.31e-6","ITGB5,SRF,VCL"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","9","53","791","19512","1.09e-3","3.48e-2","4.19","5.67e-1","3.34e-2","2.52e-4","TEAD4,YAP1,CDH1,SRF,WWC1,SPP1,HAS3,ACTB,TEAD2"
"GOTERM_BP_DIRECT","positive regulation of cell migration","6","53","300","19512","1.20e-3","3.67e-2","7.36","6.01e-1","3.52e-2","1.57e-4","ITGB1,FERMT1,ITGA6,RHOA,FERMT2,BCAR1"
"GOTERM_BP_DIRECT","regulation of focal adhesion assembly","3","53","26","19512","2.17e-3","6.41e-2","42.48","8.11e-1","6.14e-2","4.71e-5","TLN1,RHOA,VCL"
"GOTERM_BP_DIRECT","transforming growth factor beta receptor signaling pathway","4","53","109","19512","3.07e-3","8.44e-2","13.51","9.06e-1","8.09e-2","2.19e-4","ITGB5,PXN,ZYX,FERMT2"
"GOTERM_BP_DIRECT","positive regulation of focal adhesion assembly","3","53","31","19512","3.08e-3","8.44e-2","35.63","9.06e-1","8.09e-2","8.06e-5","SDC4,RAC1,FERMT2"
"GOTERM_BP_DIRECT","maintenance of blood-brain barrier","3","53","34","19512","3.70e-3","9.79e-2","32.48","9.42e-1","9.38e-2","1.07e-4","ITGB1,VCL,ACTB"
"GOTERM_BP_DIRECT","lamellipodium assembly","3","53","37","19512","4.37e-3","1.12e-1","29.85","9.65e-1","1.07e-1","1.38e-4","ITGB1,RAC1,VCL"
"GOTERM_BP_DIRECT","cell adhesion mediated by integrin","3","53","39","19512","4.85e-3","1.20e-1","28.32","9.76e-1","1.15e-1","1.61e-4","ITGB1,ITGB5,ITGA6"
"GOTERM_BP_DIRECT","axon extension","3","53","40","19512","5.09e-3","1.21e-1","27.61","9.80e-1","1.16e-1","1.74e-4","ITGB1,SRF,VCL"
"GOTERM_BP_DIRECT","in utero embryonic development","5","53","262","19512","5.19e-3","1.21e-1","7.03","9.82e-1","1.16e-1","7.13e-4","ITGB1,TEAD4,SRF,MYH9,MYH10"
"GOTERM_BP_DIRECT","positive regulation of protein import into nucleus","3","53","42","19512","5.60e-3","1.26e-1","26.30","9.87e-1","1.21e-1","2.02e-4","CDH1,HYAL2,FLNA"
"GOTERM_BP_DIRECT","sarcomere organization","3","53","44","19512","6.13e-3","1.34e-1","25.10","9.91e-1","1.29e-1","2.32e-4","ITGB1,KRT19,SRF"
"GOTERM_BP_DIRECT","semaphorin-plexin signaling pathway","3","53","45","19512","6.41e-3","1.37e-1","24.54","9.93e-1","1.31e-1","2.48e-4","FLNA,RAC1,RHOA"
"GOTERM_BP_DIRECT","cell motility","3","53","48","19512","7.27e-3","1.51e-1","23.01","9.96e-1","1.44e-1","3.00e-4","MYH9,RAC1,ACTB"
"GOTERM_BP_DIRECT","skeletal system development","4","53","154","19512","8.03e-3","1.62e-1","9.56","9.98e-1","1.55e-1","8.09e-4","TEAD4,COL18A1,VCAN,HAPLN3"
"GOTERM_BP_DIRECT","actin filament organization","4","53","158","19512","8.61e-3","1.69e-1","9.32","9.99e-1","1.62e-1","8.90e-4","SRF,RAC1,RHOA,BCAR1"
"GOTERM_BP_DIRECT","neuron projection development","4","53","162","19512","9.22e-3","1.77e-1","9.09","9.99e-1","1.69e-1","9.77e-4","ITGB1,CDH1,SRF,MYH10"
"GOTERM_BP_DIRECT","formation of radial glial scaffolds","2","53","4","19512","1.06e-2","1.85e-1","184.08","1.00e+0","1.77e-1","4.33e-5","ITGB1,FLNA"
"GOTERM_BP_DIRECT","lateral mesoderm development","2","53","4","19512","1.06e-2","1.85e-1","184.08","1.00e+0","1.77e-1","4.33e-5","YAP1,TEAD2"
"GOTERM_BP_DIRECT","positive regulation of extracellular exosome assembly","2","53","4","19512","1.06e-2","1.85e-1","184.08","1.00e+0","1.77e-1","4.33e-5","SDC4,SDC1"
"GOTERM_BP_DIRECT","cellular response to erythropoietin","2","53","4","19512","1.06e-2","1.85e-1","184.08","1.00e+0","1.77e-1","4.33e-5","MT2A,MT1X"
"GOTERM_BP_DIRECT","nuclear pore localization","2","53","5","19512","1.33e-2","2.26e-1","147.26","1.00e+0","2.17e-1","7.20e-5","LMNB2,LMNB1"
