"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","adherens junction","5","31","198","20808","1.80e-4","1.17e-2","16.95","1.97e-2","9.49e-3","1.03e-5","KRT18,NOTCH1,ZYX,DSC2,FERMT2"
"GOTERM_CC_DIRECT","stress fiber","4","31","86","20808","2.55e-4","1.17e-2","31.22","2.79e-2","9.49e-3","7.86e-6","ZYX,FLNB,FERMT2,PTK2"
"GOTERM_CC_DIRECT","focal adhesion","6","31","438","20808","3.73e-4","1.17e-2","9.19","4.05e-2","9.49e-3","3.96e-5","ADAM17,ZYX,ILK,FLNB,FERMT2,PTK2"
"GOTERM_CC_DIRECT","basement membrane","4","31","102","20808","4.22e-4","1.17e-2","26.32","4.57e-2","9.49e-3","1.55e-5","LAMA5,TIMP3,TIMP1,AGRN"
"GOTERM_CC_DIRECT","extracellular matrix","6","31","492","20808","6.33e-4","1.28e-2","8.19","6.79e-2","1.04e-2","7.55e-5","LAMA5,SDC2,SDC3,TIMP3,TIMP1,AGRN"
"GOTERM_CC_DIRECT","extracellular exosome","11","31","2242","20808","8.14e-4","1.28e-2","3.29","8.65e-2","1.04e-2","2.41e-4","MOB1B,DDR1,LAMA5,KRT19,KRT18,FLNB,KRT10,TIMP1,AGRN,CRK,DSC2"
"GOTERM_CC_DIRECT","actin cytoskeleton","5","31","302","20808","8.85e-4","1.28e-2","11.11","9.36e-2","1.04e-2","7.77e-5","ADAM17,ZYX,ILK,FLNB,CRK"
"GOTERM_CC_DIRECT","nucleus","20","31","7054","20808","9.25e-4","1.28e-2","1.90","9.76e-2","1.04e-2","4.78e-4","LAMA5,SUN1,NOTCH1,IGFBP5,IGFBP3,ILK,KRT10,PTK2,SAV1,MOB1B,LATS1,KRT18,LMNA,ZYX,TIMP3,TRPM7,CRK,EMD,TEAD1,FERMT2"
"GOTERM_CC_DIRECT","endoplasmic reticulum lumen","5","31","322","20808","1.12e-3","1.38e-2","10.42","1.17e-1","1.12e-2","1.05e-4","ADAM17,IGFBP5,IGFBP3,SDC2,TIMP1"
"GOTERM_CC_DIRECT","cytoskeleton","9","31","1569","20808","1.34e-3","1.48e-2","3.85","1.38e-1","1.20e-2","3.38e-4","LATS1,KRT19,KRT18,ZYX,ILK,FLNB,KRT10,FERMT2,PTK2"
"GOTERM_CC_DIRECT","cytosol","17","31","5677","20808","2.23e-3","2.25e-2","2.01","2.19e-1","1.82e-2","1.08e-3","NOTCH1,ILK,KRT10,PTK2,SAV1,CRKL,MOB1B,LATS1,KRT19,ADAM17,KRT18,LMNA,ZYX,FLNB,CRK,EMD,FERMT2"
"GOTERM_CC_DIRECT","cell cortex","4","31","188","20808","2.46e-3","2.25e-2","14.28","2.39e-1","1.82e-2","1.68e-4","ILK,FLNB,FERMT2,PTK2"
"GOTERM_CC_DIRECT","intermediate filament","4","31","201","20808","2.97e-3","2.25e-2","13.36","2.82e-1","1.82e-2","2.17e-4","KRT19,KRT18,LMNA,KRT10"
"GOTERM_CC_DIRECT","cell surface","6","31","701","20808","3.03e-3","2.25e-2","5.75","2.86e-1","1.82e-2","5.13e-4","ADAM17,NOTCH1,SDC2,SDC3,KRT10,FERMT2"
"GOTERM_CC_DIRECT","anchoring junction","5","31","423","20808","3.04e-3","2.25e-2","7.93","2.86e-1","1.82e-2","3.72e-4","ZYX,ILK,DSC2,FERMT2,PTK2"
"GOTERM_CC_DIRECT","insulin-like growth factor binding protein complex","2","31","3","20808","4.32e-3","3.00e-2","447.48","3.82e-1","2.43e-2","6.44e-6","IGFBP5,IGFBP3"
"GOTERM_CC_DIRECT","insulin-like growth factor ternary complex","2","31","4","20808","5.75e-3","3.76e-2","335.61","4.73e-1","3.05e-2","1.29e-5","IGFBP5,IGFBP3"
"GOTERM_CC_DIRECT","neuromuscular junction","3","31","86","20808","6.81e-3","4.20e-2","23.41","5.32e-1","3.41e-2","2.82e-4","LAMA5,CRK,CRKL"
"GOTERM_CC_DIRECT","lysosomal lumen","3","31","99","20808","8.94e-3","5.22e-2","20.34","6.31e-1","4.23e-2","4.26e-4","SDC2,SDC3,AGRN"
"GOTERM_CC_DIRECT","plasma membrane","16","31","5927","20808","1.03e-2","5.70e-2","1.81","6.82e-1","4.62e-2","5.51e-3","DDR1,NOTCH1,SDC2,SDC3,ILK,PTK2,PRTG,KRT19,ADAM17,ZYX,TRPM7,FLNB,AGRN,CRK,DSC2,FERMT2"
"GOTERM_CC_DIRECT","Golgi lumen","3","31","111","20808","1.11e-2","5.88e-2","18.14","7.11e-1","4.77e-2","5.96e-4","SDC2,SDC3,AGRN"
"GOTERM_CC_DIRECT","cell periphery","3","31","116","20808","1.21e-2","6.11e-2","17.36","7.41e-1","4.95e-2","6.77e-4","KRT19,KRT18,NOTCH1"
"GOTERM_CC_DIRECT","keratin filament","3","31","119","20808","1.27e-2","6.13e-2","16.92","7.58e-1","4.97e-2","7.29e-4","KRT19,KRT18,KRT10"
"GOTERM_CC_DIRECT","extracellular space","8","31","1895","20808","1.61e-2","7.46e-2","2.83","8.35e-1","6.05e-2","5.47e-3","DDR1,PRTG,LAMA5,IGFBP5,IGFBP3,TIMP3,KRT10,TIMP1"
"GOTERM_CC_DIRECT","extracellular region","9","31","2693","20808","3.30e-2","1.47e-1","2.24","9.76e-1","1.19e-1","1.40e-2","DDR1,LAMA5,NOTCH1,IGFBP5,IGFBP3,TIMP3,KRT10,TIMP1,AGRN"
"GOTERM_CC_DIRECT","nuclear envelope","3","31","230","20808","4.32e-2","1.84e-1","8.76","9.93e-1","1.50e-1","4.77e-3","SUN1,LMNA,EMD"
"GOTERM_CC_DIRECT","cytoplasm","17","31","7749","20808","5.29e-2","2.17e-1","1.47","9.98e-1","1.76e-1","3.45e-2","SUN1,NOTCH1,IGFBP5,ILK,KRT10,PTK2,SAV1,CRKL,MOB1B,LATS1,ADAM17,KRT18,ZYX,FLNB,CRK,EMD,FERMT2"
"GOTERM_CC_DIRECT","nuclear membrane","3","31","276","20808","5.98e-2","2.37e-1","7.30","9.99e-1","1.92e-1","7.89e-3","SUN1,LMNA,EMD"
"GOTERM_CC_DIRECT","nuclear inner membrane","2","31","57","20808","7.91e-2","3.03e-1","23.55","1.00e+0","2.45e-1","3.26e-3","SUN1,EMD"
"GOTERM_CC_DIRECT","cornified envelope","2","31","60","20808","8.30e-2","3.07e-1","22.37","1.00e+0","2.49e-1","3.60e-3","KRT10,DSC2"

