"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","hippo signaling","4","31","28","19512","1.05e-5","6.07e-3","89.92","6.05e-3","5.89e-3","1.04e-7","MOB1B,LATS1,TEAD1,SAV1"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","5","31","114","19512","2.69e-5","7.81e-3","27.61","1.55e-2","7.58e-3","9.38e-7","LAMA5,ZYX,ILK,FERMT2,PTK2"
"GOTERM_BP_DIRECT","positive regulation of substrate adhesion-dependent cell spreading","4","31","45","19512","4.46e-5","8.61e-3","55.95","2.55e-2","8.36e-3","7.42e-7","ILK,CRK,FERMT2,CRKL"
"GOTERM_BP_DIRECT","cell migration","6","31","306","19512","9.48e-5","1.38e-2","12.34","5.35e-2","1.33e-2","7.50e-6","LAMA5,SDC2,SDC3,CRK,PTK2,CRKL"
"GOTERM_BP_DIRECT","keratinocyte differentiation","4","31","70","19512","1.67e-4","1.71e-2","35.97","9.26e-2","1.66e-2","4.44e-6","LATS1,NOTCH1,KRT10,SAV1"
"GOTERM_BP_DIRECT","regulation of cell adhesion mediated by integrin","3","31","13","19512","1.76e-4","1.71e-2","145.25","9.73e-2","1.66e-2","1.03e-6","CRK,PTK2,CRKL"
"GOTERM_BP_DIRECT","regulation of cell growth","4","31","81","19512","2.58e-4","2.14e-2","31.08","1.39e-1","2.08e-2","7.96e-6","DDR1,IGFBP5,IGFBP3,CRKL"
"GOTERM_BP_DIRECT","cell population proliferation","5","31","267","19512","7.10e-4","4.65e-2","11.79","3.38e-1","4.51e-2","5.87e-5","DDR1,NOTCH1,IGFBP5,ILK,CRK"
"GOTERM_BP_DIRECT","muscle organ development","4","31","115","19512","7.21e-4","4.65e-2","21.89","3.42e-1","4.51e-2","3.19e-5","LAMA5,LMNA,FLNB,EMD"
"GOTERM_BP_DIRECT","regulation of cell migration","4","31","123","19512","8.76e-4","5.08e-2","20.47","3.99e-1","4.93e-2","4.15e-5","LAMA5,NOTCH1,LMNA,CRKL"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","6","31","542","19512","1.30e-3","6.86e-2","6.97","5.30e-1","6.66e-2","1.82e-4","ADAM17,NOTCH1,ILK,TIMP1,PTK2,CRKL"
"GOTERM_BP_DIRECT","positive regulation of signal transduction","3","31","44","19512","2.08e-3","1.00e-1","42.91","7.01e-1","9.74e-2","4.60e-5","ADAM17,NOTCH1,ILK"
"GOTERM_BP_DIRECT","establishment of cell polarity","3","31","47","19512","2.37e-3","1.02e-1","40.18","7.47e-1","9.92e-2","5.62e-5","CRK,PTK2,CRKL"
"GOTERM_BP_DIRECT","substrate adhesion-dependent cell spreading","3","31","48","19512","2.47e-3","1.02e-1","39.34","7.61e-1","9.92e-2","5.98e-5","LAMA5,ILK,FERMT2"
"GOTERM_BP_DIRECT","helper T cell diapedesis","2","31","2","19512","3.07e-3","1.19e-1","629.42","8.32e-1","1.15e-1","2.44e-6","CRK,CRKL"
"GOTERM_BP_DIRECT","cell adhesion","6","31","677","19512","3.44e-3","1.25e-1","5.58","8.64e-1","1.21e-1","5.98e-4","DDR1,LAMA5,ADAM17,ZYX,DSC2,FERMT2"
"GOTERM_BP_DIRECT","positive regulation of epithelial to mesenchymal transition","3","31","60","19512","3.83e-3","1.31e-1","31.47","8.92e-1","1.27e-1","1.17e-4","NOTCH1,FERMT2,PTK2"
"GOTERM_BP_DIRECT","outflow tract morphogenesis","3","31","63","19512","4.21e-3","1.31e-1","29.97","9.13e-1","1.28e-1","1.35e-4","NOTCH1,ILK,CRKL"
"GOTERM_BP_DIRECT","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","4","31","217","19512","4.41e-3","1.31e-1","11.60","9.23e-1","1.28e-1","3.70e-4","DDR1,IGFBP5,FERMT2,PTK2"
"GOTERM_BP_DIRECT","cerebellar neuron development","2","31","3","19512","4.61e-3","1.31e-1","419.61","9.31e-1","1.28e-1","7.32e-6","CRK,CRKL"
"GOTERM_BP_DIRECT","negative regulation of cell population proliferation","5","31","450","19512","4.76e-3","1.31e-1","6.99","9.37e-1","1.28e-1","6.61e-4","DDR1,NOTCH1,IGFBP3,LMNA,SAV1"
"GOTERM_BP_DIRECT","cell differentiation","7","31","1094","19512","5.70e-3","1.50e-1","4.03","9.64e-1","1.46e-1","1.37e-3","SUN1,NOTCH1,SDC2,ILK,FLNB,AGRN,PTK2"
"GOTERM_BP_DIRECT","postsynaptic specialization assembly","2","31","5","19512","7.66e-3","1.93e-1","251.77","9.88e-1","1.88e-1","2.44e-5","CRK,CRKL"
"GOTERM_BP_DIRECT","positive regulation of cell growth","3","31","90","19512","8.42e-3","2.03e-1","20.98","9.93e-1","1.97e-1","3.88e-4","ADAM17,CRK,TEAD1"
"GOTERM_BP_DIRECT","regulation of leukocyte migration","2","31","6","19512","9.19e-3","2.13e-1","209.81","9.95e-1","2.07e-1","3.65e-5","CRK,CRKL"
"GOTERM_BP_DIRECT","positive regulation of cell migration","4","31","300","19512","1.07e-2","2.22e-1","8.39","9.98e-1","2.15e-1","1.24e-3","ADAM17,NOTCH1,FERMT2,PTK2"
"GOTERM_BP_DIRECT","cell-matrix adhesion","3","31","108","19512","1.19e-2","2.22e-1","17.48","9.99e-1","2.15e-1","6.62e-4","ZYX,ILK,FERMT2"
