"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","extracellular exosome","7","14","2242","20808","1.36e-3","9.98e-2","4.64","1.36e-1","8.86e-2","2.89e-4","MOB1B,CDC42,DDR1,DYNC1H1,TUBA1A,COL6A1,KRT10"
"GOTERM_CC_DIRECT","cytoskeleton","6","14","1569","20808","1.87e-3","9.98e-2","5.68","1.81e-1","8.86e-2","3.22e-4","CDC42,DYNC1H1,TUBA1A,DCTN1,ILK,KRT10"
"GOTERM_CC_DIRECT","cell cortex","3","14","188","20808","5.93e-3","1.81e-1","23.72","4.71e-1","1.61e-1","2.46e-4","DYNC1H1,DCTN1,ILK"
"GOTERM_CC_DIRECT","centrosome","4","14","688","20808","8.03e-3","1.81e-1","8.64","5.78e-1","1.61e-1","9.10e-4","CDC42,DYNC1H1,DCTN1,ILK"
"GOTERM_CC_DIRECT","cell surface","4","14","701","20808","8.46e-3","1.81e-1","8.48","5.97e-1","1.61e-1","9.76e-4","CDH2,GPC2,ITGAE,KRT10"
"GOTERM_CC_DIRECT","membrane","11","14","9038","20808","1.53e-2","2.18e-1","1.81","8.08e-1","1.93e-1","8.30e-3","CDC42,DDR1,DYNC1H1,PCDHB2,CDH2,DCTN1,COL6A1,GPC2,ILK,ITGAE,KRT10"
"GOTERM_CC_DIRECT","extracellular region","6","14","2693","20808","1.90e-2","2.18e-1","3.31","8.71e-1","1.93e-1","5.54e-3","DDR1,DYNC1H1,COL6A1,TIMP2,GPC2,KRT10"
"GOTERM_CC_DIRECT","neuron projection","3","14","372","20808","2.18e-2","2.18e-1","11.99","9.06e-1","1.93e-1","1.78e-3","CDC42,CDH2,DCTN1"
"GOTERM_CC_DIRECT","synapse","4","14","1001","20808","2.21e-2","2.18e-1","5.94","9.09e-1","1.93e-1","3.62e-3","TUBA1A,PCDHB2,CDH2,GPC2"
"GOTERM_CC_DIRECT","dynein complex","2","14","36","20808","2.23e-2","2.18e-1","82.57","9.10e-1","1.93e-1","2.61e-4","DYNC1H1,DCTN1"
"GOTERM_CC_DIRECT","microtubule","3","14","377","20808","2.24e-2","2.18e-1","11.83","9.11e-1","1.93e-1","1.85e-3","DYNC1H1,TUBA1A,DCTN1"
"GOTERM_CC_DIRECT","focal adhesion","3","14","438","20808","2.96e-2","2.64e-1","10.18","9.60e-1","2.34e-1","2.84e-3","CDC42,CDH2,ILK"
"GOTERM_CC_DIRECT","extracellular matrix","3","14","492","20808","3.66e-2","2.82e-1","9.06","9.82e-1","2.50e-1","3.94e-3","CDH2,COL6A1,TIMP2"
"GOTERM_CC_DIRECT","cytoplasmic microtubule","2","14","60","20808","3.69e-2","2.82e-1","49.54","9.82e-1","2.50e-1","7.28e-4","DYNC1H1,TUBA1A"
"GOTERM_CC_DIRECT","cell leading edge","2","14","69","20808","4.23e-2","3.02e-1","43.08","9.90e-1","2.68e-1","9.61e-4","CDC42,DCTN1"
"GOTERM_CC_DIRECT","plasma membrane","8","14","5927","20808","4.80e-2","3.15e-1","2.01","9.95e-1","2.80e-1","2.31e-2","CDC42,DDR1,TUBA1A,PCDHB2,CDH2,GPC2,ILK,ITGAE"
"GOTERM_CC_DIRECT","filopodium","2","14","82","20808","5.01e-2","3.15e-1","36.25","9.96e-1","2.80e-1","1.35e-3","CDC42,DYNC1H1"
"GOTERM_CC_DIRECT","cytoplasmic ribonucleoprotein granule","2","14","96","20808","5.84e-2","3.35e-1","30.96","9.98e-1","2.98e-1","1.85e-3","CDC42,TUBA1A"
"GOTERM_CC_DIRECT","apical part of cell","2","14","98","20808","5.95e-2","3.35e-1","30.33","9.99e-1","2.98e-1","1.93e-3","CDC42,CDH2"
"GOTERM_CC_DIRECT","sarcolemma","2","14","118","20808","7.13e-2","3.81e-1","25.19","1.00e+0","3.39e-1","2.78e-3","CDH2,COL6A1"
"GOTERM_CC_DIRECT","protein-containing complex","3","14","797","20808","8.65e-2","4.41e-1","5.59","1.00e+0","3.91e-1","1.49e-2","CDC42,DCTN1,COL6A1"
"GOTERM_CC_DIRECT","mitotic spindle","2","14","153","20808","9.15e-2","4.45e-1","19.43","1.00e+0","3.95e-1","4.61e-3","CDC42,DCTN1"

