"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","nuclear migration","3","14","24","19512","1.12e-4","3.31e-2","174.21","3.25e-2","3.28e-2","5.90e-7","CDC42,DYNC1H1,DCTN1"
"GOTERM_BP_DIRECT","cell adhesion","5","14","677","19512","8.00e-4","1.18e-1","10.29","2.10e-1","1.17e-1","7.64e-5","DDR1,PCDHB2,CDH2,COL6A1,ITGAE"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","3","14","114","19512","2.53e-3","2.10e-1","36.68","5.26e-1","2.08e-1","6.75e-5","CDC42,ILK,ITGAE"
"GOTERM_BP_DIRECT","cell morphogenesis","3","14","121","19512","2.84e-3","2.10e-1","34.55","5.68e-1","2.08e-1","8.06e-5","CDH2,COL6A1,ILK"
"GOTERM_BP_DIRECT","caveola assembly","2","14","8","19512","5.32e-3","2.72e-1","348.43","7.93e-1","2.69e-1","1.34e-5","COL6A1,ILK"
"GOTERM_BP_DIRECT","anatomical structure morphogenesis","3","14","170","19512","5.53e-3","2.72e-1","24.59","8.05e-1","2.69e-1","2.20e-4","CDC42,COL6A1,ILK"
"GOTERM_BP_DIRECT","organelle transport along microtubule","2","14","14","19512","9.29e-3","3.92e-1","199.10","9.36e-1","3.88e-1","4.33e-5","CDC42,TUBA1A"
"GOTERM_BP_DIRECT","glial cell differentiation","2","14","21","19512","1.39e-2","4.30e-1","132.73","9.84e-1","4.25e-1","9.96e-5","TUBA1A,CDH2"
"GOTERM_BP_DIRECT","regulation of mitotic spindle organization","2","14","21","19512","1.39e-2","4.30e-1","132.73","9.84e-1","4.25e-1","9.96e-5","DYNC1H1,DCTN1"
"GOTERM_BP_DIRECT","myelination in peripheral nervous system","2","14","22","19512","1.46e-2","4.30e-1","126.70","9.87e-1","4.25e-1","1.10e-4","COL6A1,ILK"
"GOTERM_BP_DIRECT","motor behavior","2","14","30","19512","1.98e-2","5.31e-1","92.91","9.97e-1","5.26e-1","2.06e-4","TUBA1A,DCTN1"
"GOTERM_BP_DIRECT","adherens junction organization","2","14","34","19512","2.24e-2","5.51e-1","81.98","9.99e-1","5.46e-1","2.65e-4","CDC42,CDH2"
"GOTERM_BP_DIRECT","homeostasis of number of cells","2","14","37","19512","2.44e-2","5.53e-1","75.34","9.99e-1","5.48e-1","3.14e-4","CDH2,COL6A1"
"GOTERM_BP_DIRECT","positive regulation of substrate adhesion-dependent cell spreading","2","14","45","19512","2.96e-2","6.01e-1","61.94","1.00e+0","5.95e-1","4.65e-4","CDC42,ILK"
"GOTERM_BP_DIRECT","calcium-dependent cell-cell adhesion","2","14","47","19512","3.09e-2","6.01e-1","59.31","1.00e+0","5.95e-1","5.07e-4","PCDHB2,CDH2"
"GOTERM_BP_DIRECT","cell division","3","14","433","19512","3.26e-2","6.01e-1","9.66","1.00e+0","5.95e-1","3.29e-3","DYNC1H1,TUBA1A,DCTN1"
"GOTERM_BP_DIRECT","mitotic spindle organization","2","14","58","19512","3.80e-2","6.59e-1","48.06","1.00e+0","6.52e-1","7.72e-4","DYNC1H1,ILK"
"GOTERM_BP_DIRECT","response to mechanical stimulus","2","14","69","19512","4.50e-2","7.38e-1","40.40","1.00e+0","7.30e-1","1.09e-3","TUBA1A,COL6A1"
"GOTERM_BP_DIRECT","synapse assembly","2","14","78","19512","5.08e-2","7.88e-1","35.74","1.00e+0","7.80e-1","1.39e-3","PCDHB2,CDH2"
"GOTERM_BP_DIRECT","cerebral cortex development","2","14","91","19512","5.90e-2","8.21e-1","30.63","1.00e+0","8.13e-1","1.89e-3","TUBA1A,CDH2"
"GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction","2","14","94","19512","6.09e-2","8.21e-1","29.65","1.00e+0","8.13e-1","2.01e-3","COL6A1,ILK"
"GOTERM_BP_DIRECT","smoothened signaling pathway","2","14","96","19512","6.21e-2","8.21e-1","29.04","1.00e+0","8.13e-1","2.10e-3","TUBA1A,GPC2"
"GOTERM_BP_DIRECT","neuron apoptotic process","2","14","99","19512","6.40e-2","8.21e-1","28.16","1.00e+0","8.13e-1","2.23e-3","TUBA1A,COL6A1"
"GOTERM_BP_DIRECT","nervous system development","3","14","649","19512","6.76e-2","8.22e-1","6.44","1.00e+0","8.13e-1","1.01e-2","CDC42,PCDHB2,DCTN1"
"GOTERM_BP_DIRECT","cell-matrix adhesion","2","14","108","19512","6.96e-2","8.22e-1","25.81","1.00e+0","8.13e-1","2.64e-3","ILK,ITGAE"
"GOTERM_BP_DIRECT","positive regulation of neuron projection development","2","14","122","19512","7.83e-2","8.89e-1","22.85","1.00e+0","8.80e-1","3.36e-3","DDR1,GPC2"
"GOTERM_BP_DIRECT","mitotic cell cycle","2","14","146","19512","9.31e-2","1.00e+0","19.09","1.00e+0","9.93e-1","4.77e-3","TUBA1A,DCTN1"

