"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","endoplasmic reticulum lumen","9","25","322","20808","1.79e-9","1.20e-7","23.26","2.09e-7","1.11e-7","7.48e-11","ADAM17,VCAN,COL2A1,COL4A2,CDH2,COL11A1,IGFBP3,SDC2,COL4A5"
"GOTERM_CC_DIRECT","extracellular matrix","10","25","492","20808","2.05e-9","1.20e-7","16.92","2.40e-7","1.11e-7","1.19e-10","VCAN,COL2A1,SPARC,COL4A2,CDH2,COL11A1,SDC2,TIMP2,COL4A5,FBLN1"
"GOTERM_CC_DIRECT","basement membrane","5","25","102","20808","5.36e-6","2.09e-4","40.80","6.27e-4","1.93e-4","1.26e-7","COL2A1,SPARC,COL4A2,COL4A5,FBLN1"
"GOTERM_CC_DIRECT","cell surface","8","25","701","20808","1.00e-5","2.93e-4","9.50","1.17e-3","2.71e-4","1.04e-6","ADAM17,NOTCH1,SPARC,CDH2,SDC2,KRT10,ITGAE,GPC6"
"GOTERM_CC_DIRECT","extracellular space","11","25","1895","20808","2.27e-5","5.32e-4","4.83","2.66e-3","4.91e-4","4.63e-6","PRTG,VCAN,COL2A1,SPARC,COL4A2,COL11A1,IGFBP3,TIMP2,COL4A5,FBLN1,KRT10"
"GOTERM_CC_DIRECT","extracellular region","12","25","2693","20808","8.24e-5","1.61e-3","3.71","9.59e-3","1.48e-3","2.18e-5","VCAN,COL2A1,NOTCH1,SPARC,COL4A2,COL11A1,IGFBP3,TIMP2,COL4A5,FBLN1,KRT10,GPC6"
"GOTERM_CC_DIRECT","collagen trimer","4","25","104","20808","2.27e-4","3.80e-3","32.01","2.63e-2","3.51e-3","6.87e-6","COL2A1,COL4A2,COL11A1,COL4A5"
"GOTERM_CC_DIRECT","collagen type II trimer","2","25","3","20808","3.46e-3","5.05e-2","554.88","3.33e-1","4.67e-2","4.15e-6","COL2A1,COL11A1"
"GOTERM_CC_DIRECT","lysosomal lumen","3","25","99","20808","5.78e-3","7.03e-2","25.22","4.92e-1","6.49e-2","2.23e-4","VCAN,SDC2,GPC6"
"GOTERM_CC_DIRECT","collagen type IV trimer","2","25","6","20808","6.90e-3","7.03e-2","277.44","5.55e-1","6.49e-2","2.07e-5","COL4A2,COL4A5"
"GOTERM_CC_DIRECT","collagen type XI trimer","2","25","6","20808","6.90e-3","7.03e-2","277.44","5.55e-1","6.49e-2","2.07e-5","COL2A1,COL11A1"
"GOTERM_CC_DIRECT","Golgi lumen","3","25","111","20808","7.21e-3","7.03e-2","22.50","5.71e-1","6.49e-2","3.12e-4","VCAN,SDC2,GPC6"
"GOTERM_CC_DIRECT","fibrillar collagen trimer","2","25","9","20808","1.03e-2","8.88e-2","184.96","7.03e-1","8.19e-2","4.96e-5","COL2A1,COL11A1"
"GOTERM_CC_DIRECT","extracellular exosome","8","25","2242","20808","1.11e-2","8.88e-2","2.97","7.28e-1","8.19e-2","3.60e-3","MOB1B,MOB1A,TUBA1A,COL4A2,FAT1,FBLN1,KRT10,SYNE2"
"GOTERM_CC_DIRECT","apical plasma membrane","4","25","411","20808","1.14e-2","8.88e-2","8.10","7.38e-1","8.19e-2","1.37e-3","ADAM17,NOTCH1,CDH2,FAT1"
"GOTERM_CC_DIRECT","focal adhesion","4","25","438","20808","1.35e-2","9.87e-2","7.60","7.96e-1","9.11e-2","1.73e-3","ADAM17,CDH2,FAT1,SYNE2"
"GOTERM_CC_DIRECT","plasma membrane","13","25","5927","20808","2.09e-2","1.41e-1","1.83","9.16e-1","1.30e-1","1.11e-2","NOTCH1,SPARC,SDC2,ITGAE,PCDH19,SYNE2,PRTG,ADAM17,TUBA1A,PCDHB2,CDH2,FAT1,GPC6"
"GOTERM_CC_DIRECT","adherens junction","3","25","198","20808","2.17e-2","1.41e-1","12.61","9.23e-1","1.30e-1","1.67e-3","NOTCH1,CDH2,FAT1"
"GOTERM_CC_DIRECT","cell-cell junction","3","25","208","20808","2.38e-2","1.46e-1","12.00","9.40e-1","1.35e-1","1.93e-3","ADAM17,CDH2,FAT1"
"GOTERM_CC_DIRECT","synapse","5","25","1001","20808","2.62e-2","1.53e-1","4.16","9.55e-1","1.42e-1","6.06e-3","VCAN,TUBA1A,PCDHB2,CDH2,GPC6"
"GOTERM_CC_DIRECT","neuromuscular junction","2","25","86","20808","9.47e-2","5.27e-1","19.36","1.00e+0","4.87e-1","4.76e-3","TUBA1A,COL4A5"

