"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","cell adhesion","7","25","677","19512","1.34e-4","5.72e-2","8.07","5.56e-2","5.68e-2","1.63e-5","ADAM17,VCAN,PCDHB2,CDH2,FAT1,ITGAE,PCDH19"
"GOTERM_BP_DIRECT","glial cell differentiation","3","25","21","19512","3.00e-4","6.38e-2","111.50","1.20e-1","6.33e-2","2.43e-6","NOTCH1,TUBA1A,CDH2"
"GOTERM_BP_DIRECT","hippo signaling","3","25","28","19512","5.37e-4","7.61e-2","83.62","2.04e-1","7.56e-2","5.96e-6","MOB1B,LATS1,MOB1A"
"GOTERM_BP_DIRECT","homophilic cell-cell adhesion","4","25","171","19512","1.17e-3","1.24e-1","18.26","3.92e-1","1.23e-1","6.24e-5","PCDHB2,CDH2,FAT1,PCDH19"
"GOTERM_BP_DIRECT","cell-cell adhesion","4","25","225","19512","2.56e-3","1.96e-1","13.88","6.64e-1","1.94e-1","1.80e-4","PRTG,CDH2,FAT1,ITGAE"
"GOTERM_BP_DIRECT","heart morphogenesis","3","25","66","19512","2.96e-3","1.96e-1","35.48","7.17e-1","1.94e-1","8.06e-5","COL2A1,NOTCH1,COL11A1"
"GOTERM_BP_DIRECT","keratinocyte differentiation","3","25","70","19512","3.33e-3","1.96e-1","33.45","7.57e-1","1.94e-1","9.61e-5","LATS1,NOTCH1,KRT10"
"GOTERM_BP_DIRECT","regulation of protein autophosphorylation","2","25","3","19512","3.69e-3","1.96e-1","520.32","7.92e-1","1.94e-1","4.72e-6","MOB1B,MOB1A"
"GOTERM_BP_DIRECT","cell migration","4","25","306","19512","6.06e-3","2.86e-1","10.20","9.24e-1","2.84e-1","5.78e-4","CDH2,SDC2,FAT1,GPC6"
"GOTERM_BP_DIRECT","proteoglycan metabolic process","2","25","11","19512","1.35e-2","5.11e-1","141.91","9.97e-1","5.07e-1","8.61e-5","COL2A1,COL11A1"
"GOTERM_BP_DIRECT","extracellular matrix organization","3","25","147","19512","1.40e-2","5.11e-1","15.93","9.97e-1","5.07e-1","8.53e-4","COL4A2,COL11A1,FBLN1"
"GOTERM_BP_DIRECT","collagen-activated tyrosine kinase receptor signaling pathway","2","25","12","19512","1.47e-2","5.11e-1","130.08","9.98e-1","5.07e-1","1.03e-4","COL4A2,COL4A5"
"GOTERM_BP_DIRECT","negative regulation of canonical Wnt signaling pathway","3","25","156","19512","1.56e-2","5.11e-1","15.01","9.99e-1","5.07e-1","1.01e-3","LATS1,NOTCH1,CDH2"
"GOTERM_BP_DIRECT","cartilage condensation","2","25","21","19512","2.55e-2","7.75e-1","74.33","1.00e+0","7.69e-1","3.26e-4","COL2A1,COL11A1"
"GOTERM_BP_DIRECT","neuronal stem cell population maintenance","2","25","24","19512","2.91e-2","8.25e-1","65.04","1.00e+0","8.19e-1","4.28e-4","NOTCH1,CDH2"
"GOTERM_BP_DIRECT","regulation of synapse organization","2","25","30","19512","3.63e-2","8.85e-1","52.03","1.00e+0","8.78e-1","6.71e-4","SPARC,TUBA1A"
"GOTERM_BP_DIRECT","negative regulation of neurogenesis","2","25","30","19512","3.63e-2","8.85e-1","52.03","1.00e+0","8.78e-1","6.71e-4","PRTG,NOTCH1"
