,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,EC,Glioblast,MC,Microglia,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,PSC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
COL1A1,0.06380424,0.19079243,0.021751141,0.031475153,0.033865705,0.032883365,0.06015737,2.5934315,0.4827063,2.3809419,0.3590635,0.26861462,0.0975037,0.0571684,1.1580746,0.04146142,0.019692881
COL1A2,0.3747197,0.6749176,0.03605585,0.064129345,0.020299505,0.0,0.21522887,3.175522,0.86848056,3.9006922,0.87264496,0.63021404,0.15968183,0.12169265,2.368369,0.23303221,0.1103392
COL2A1,0.01066061,0.4780364,0.08463135,0.4250023,0.007850727,0.00980527,0.025596943,0.24817961,0.0,0.673615,3.082153,0.60262823,0.07092625,0.09516263,4.678299,0.9172642,0.023228176
COL3A1,0.114932165,0.14352837,0.014026587,0.011593404,0.024431365,0.0,0.08777148,2.5210054,0.35778287,1.0850326,0.043410033,0.21139494,0.086849704,0.057731073,0.09600158,0.020504877,0.014030883
COL4A1,1.2862647,0.09081963,0.43172428,0.37153956,0.07650211,0.40145597,0.61587757,1.2104942,0.049996313,2.42481,1.210763,0.5579185,0.09796446,0.46119073,3.5732179,0.4409858,0.099358596
COL4A2,1.3288186,0.2739219,1.563339,1.2238209,0.32389107,0.28782994,0.8237094,1.5090199,0.0,3.0234067,1.9620736,1.1395649,0.41477835,0.7783059,3.0960782,1.0927422,0.37081808
COL4A3,0.005788946,0.035812303,0.0018870092,0.0018979808,0.004284712,0.0,0.004576795,0.048267126,0.0,0.014895713,0.020289123,0.025969522,0.019386828,0.016486533,0.033522107,0.005301945,0.011555248
COL4A4,0.010027507,0.03101642,0.0044941087,0.005705368,0.005962356,0.0,0.0060239206,0.043090407,0.0,0.012175425,0.022650447,0.035694677,0.026191132,0.012065696,0.11592811,0.01229819,0.02102292
COL4A5,1.2824465,1.1045727,0.61690503,1.0777125,0.08851983,0.23848896,0.9285662,1.1480045,0.0,0.20570868,2.1137009,1.3604118,0.112117924,0.34639204,2.690522,1.0587842,0.080593884
COL4A6,0.50300545,1.0097926,0.58952814,1.442045,0.09210064,0.074635655,0.534531,0.36439914,0.0,0.033444516,1.4814801,0.8126497,0.07386396,0.07546876,2.9228783,0.7740463,0.050914045
COL5A1,0.116041206,0.2531695,0.098204486,0.15327442,0.033478558,0.0061720703,0.1375242,1.447455,0.0,0.8220791,0.33055618,0.2834008,0.05717141,0.029684793,1.3401651,0.10067657,0.023313532
