,Cerebellum,Dorsal midbrain,Dorsal telencephalon,Hypothalamus,Medulla,Pons,Thalamus,Unspecific,Ventral midbrain,Ventral telencephalon
COL1A1,0.19211191,0.2500297,0.032911815,0.07144747,0.25099382,0.14936277,0.11079628,0.5675972,0.23567155,0.02607902
COL1A2,0.40211308,0.5784521,0.033585645,0.18830393,0.5282194,0.28575787,0.26325014,0.99712396,0.5838019,0.14633322
COL2A1,0.26909176,0.6841852,0.1328109,0.10493857,0.37758043,0.28425696,0.29378936,0.9523886,0.7927672,0.28550673
COL3A1,0.22116786,0.1972834,0.020421868,0.038058586,0.19245401,0.105698705,0.08520272,0.44166842,0.08165455,0.015930125
COL4A1,0.4081258,0.4131572,0.17101151,0.10604276,0.49379623,0.23078556,0.12715124,0.8819756,0.39836115,0.19957949
COL4A2,1.0250182,1.0990193,0.61534333,0.29142585,0.9191333,0.6926091,0.42081746,1.2162083,0.98408645,0.58260417
COL4A3,0.032760076,0.040849376,0.003529861,0.013106742,0.020165376,0.017732602,0.0054085366,0.021676008,0.05035396,0.009720758
COL4A4,0.05329342,0.055497892,0.0058564297,0.015492621,0.022255111,0.023938049,0.009360993,0.021757288,0.06434821,0.018463401
COL4A5,0.9076546,1.6555635,0.39189163,0.29103056,0.6584423,0.38452598,0.7308263,1.3089443,1.3049648,0.36755964
COL4A6,0.30693227,1.1535885,0.50155485,0.25354126,0.2844926,0.14887767,0.89120007,0.82938755,0.81824815,0.2630556
COL5A1,0.18615232,0.20738888,0.07023337,0.07534535,0.23193063,0.12550789,0.11244295,0.40329173,0.27735874,0.046009105
COL5A2,0.23422405,0.28232583,0.04577457,0.11813642,0.3625431,0.168703,0.25130507,0.54993784,0.33796042,0.14578535
COL5A3,0.024203688,0.032317955,0.005853454,0.008931568,0.035502754,0.017338391,0.014277045,0.17101124,0.029219197,0.007928324
COL6A1,0.97576225,1.4617888,0.81004465,0.77560866,1.5061927,1.5255014,1.2034545,1.8474734,1.9873395,0.64949995
COL6A2,0.38629407,0.48398447,0.33701426,0.2697873,0.68499416,0.49327198,0.48304763,1.1157641,0.9671753,0.1521232
COL6A3,0.058062874,0.047016837,0.010110533,0.012823991,0.051506564,0.028200543,0.023448879,0.20197055,0.036374334,0.0118208565
COL6A5,0.006275853,0.0013618749,0.0003699716,0.00042245086,0.0011850528,0.0015555187,0.00019605175,0.0014254585,0.001395262,0.00033893928
COL6A6,0.07252807,0.07458277,0.0033852914,0.010728124,0.03386917,0.02650509,0.0046352725,0.026747834,0.057988815,0.007164747
COL7A1,0.12007713,0.119860016,0.09632887,0.1494887,0.12721339,0.16471346,0.11254054,0.15952325,0.19212644,0.17409152
COL8A1,0.029878547,0.016538294,0.0027151604,0.012670968,0.049720563,0.025736889,0.0058417367,0.08732344,0.057074193,0.006906836
COL8A2,0.02650134,0.027518785,0.0027896357,0.006943813,0.018277068,0.011485893,0.0074194553,0.062759526,0.02888907,0.002984163
COL9A1,0.17193046,0.34696534,0.16936937,0.07756853,0.15633287,0.121983364,0.33981198,0.47761655,0.18893456,0.17131875
COL9A2,0.110848546,0.27212226,0.11490135,0.104339264,0.1896421,0.17652452,0.37316284,0.36178076,0.14978933,0.12415145
COL9A3,0.060129594,0.117924586,0.607101,0.051976506,0.13803126,0.11820547,0.13652755,0.42563504,0.12568521,0.29803804
COL10A1,0.0471151,0.062409353,0.0018415586,0.0063179834,0.022801528,0.014079036,0.0025802122,0.021833561,0.039438214,0.0016139271
COL11A1,0.5906048,0.6107419,0.49925599,0.25454724,0.35600948,0.22932456,0.7084734,1.120639,0.20923974,0.49622425
COL11A2,0.042274557,0.04407513,0.052493904,0.046161823,0.03526756,0.04185925,0.033875275,0.059452742,0.05317988,0.06756621
COL12A1,0.1969421,0.0545567,0.02882149,0.024864435,0.09064451,0.038534664,0.02376779,0.13484766,0.08724343,0.013015823
