gene_symbol,Category,Subcategory,pct_cells_expressing,mean expression,is_hvg_in_atlas,max_pct_any_celltype,top_celltype,top_region,temporal_cv
COL6A1,Collagens,Beaded Filament,22.25211202238033,1.1474625,True,68.03840877915144,MC,Ventral midbrain,0.32044244
COL4A2,Collagens,Basement Membrane / Network,15.494827113004328,0.78863513,False,65.70644718793048,PSC,Unspecific,0.7105982
COL4A5,Collagens,Basement Membrane / Network,13.215176061148862,0.6866173,False,61.636945587564476,PSC,Dorsal midbrain,0.9792509
COL11A1,Collagens,Fibrillar,11.95185978814241,0.61527437,False,36.3081134079566,Astrocyte,Unspecific,0.73786426
COL4A6,Collagens,Basement Membrane / Network,10.541755291195283,0.5392851,False,62.780064014633574,PSC,Dorsal midbrain,0.9946348
COL6A2,Collagens,Beaded Filament,10.472117014881116,0.535148,True,66.9410150891651,MC,Unspecific,0.56476206
COL18A1,Collagens,Multiplexin,9.751166003404764,0.48686802,False,84.63648834019479,PSC,Unspecific,1.1609453
COL9A3,Collagens,FACIT,7.789659647856491,0.40518555,False,20.759030635573687,PSC,Dorsal telencephalon,0.74844545
COL4A1,Collagens,Basement Membrane / Network,7.460332162708147,0.3690629,True,69.59304983996542,PSC,Unspecific,0.87091935
COL2A1,Collagens,Fibrillar,7.315464215631231,0.37816826,True,81.61865569273236,PSC,Unspecific,1.7013068
COL1A2,Collagens,Fibrillar,6.024755757717475,0.34797454,True,63.60659093235634,NC Derivatives,Unspecific,0.8196493
COL9A1,Collagens,FACIT,4.928673009599844,0.2409326,False,17.784030799769766,CP,Unspecific,1.1747599
COL5A2,Collagens,Fibrillar,4.356317541499464,0.22031464,True,45.256370893462666,NC Derivatives,Unspecific,0.53422916
COL27A1,Collagens,Fibrillar,4.353550083641075,0.21135841,False,23.090992226794512,PSC,Unspecific,0.72564244
COL26A1,Collagens,Other,4.048790846827412,0.19309305,False,22.542295381801377,PSC,Ventral midbrain,1.1927674
COL9A2,Collagens,FACIT,3.8258692923975524,0.18988344,False,67.85550983082038,PSC,Thalamus,0.6469499
COL5A1,Collagens,Fibrillar,3.3273880054966294,0.16701153,True,32.464563328761024,MC,Unspecific,0.75892556
COL1A1,Collagens,Fibrillar,3.159194342184716,0.18655562,True,38.890594616724314,MC,Unspecific,0.7852788
COL23A1,Collagens,Transmembrane,3.0883135337708634,0.15987745,True,47.18792866941104,PSC,Ventral midbrain,1.0982653
COL7A1,Collagens,Anchoring Fibril,2.604742632066161,0.12630163,False,5.221926815903194,MC,Ventral midbrain,0.38336086
COL25A1,Collagens,Transmembrane,2.422372807071477,0.12399084,False,6.441661762019785,MC,Dorsal midbrain,0.90101296
COL16A1,Collagens,FACIT,2.3901234512114695,0.118949704,False,14.817445659896103,MC,Unspecific,0.6659949
COL3A1,Collagens,Fibrillar,2.3010000124249688,0.14430663,True,32.72583362084209,MC,Unspecific,0.99483097
COL21A1,Collagens,FACIT,1.3353831347735707,0.06932629,True,12.990887504314577,MC,Ventral midbrain,0.8866702
COL12A1,Collagens,FACIT,1.295960979974351,0.0654316,True,23.242247466993366,NC Derivatives,Cerebellum,0.8134496
COL14A1,Collagens,FACIT,1.1656645457024315,0.060556006,True,14.362835630062479,MC,Unspecific,1.4433571
COL6A3,Collagens,Beaded Filament,1.039716973779423,0.05883768,True,22.663527692649634,MC,Unspecific,1.0311804
SPARC,ECM Glycoproteins,Core Glycoprotein,29.346687917883695,1.6656147,True,91.19844437622548,NC Derivatives,Unspecific,0.5710825
FBLN1,ECM Glycoproteins,Fibulins,24.91158254562613,1.342697,True,95.01600365798222,PSC,Unspecific,0.88383555
MFAP2,ECM Glycoproteins,Elastic Fibers / Microfibrils,14.011300264675722,0.72919136,False,84.31641518061544,PSC,Thalamus,1.1788561
TNC,ECM Glycoproteins,Tenascins,9.19293021825535,0.50875455,True,71.27012010782423,Astrocyte,Unspecific,1.0835973
EFEMP2,ECM Glycoproteins,Fibulins,8.412224708530507,0.41707537,False,47.839587603748335,MC,Unspecific,1.2097511
FN1,ECM Glycoproteins,Core Glycoprotein,6.664885703982495,0.33937484,True,82.99039780521528,PSC,Unspecific,0.8570904
FBN2,ECM Glycoproteins,Elastic Fibers / Microfibrils,5.72637861759765,0.29387915,False,74.34842249657288,PSC,Dorsal midbrain,1.4063562
THBS3,ECM Glycoproteins,Thrombospondins,5.174863801532896,0.25104627,False,13.16188419548763,Neuroepithelium,Ventral midbrain,1.1464511
FBN1,ECM Glycoproteins,Elastic Fibers / Microfibrils,4.902918707897281,0.2404937,False,22.610760457043945,MC,Unspecific,1.0988511
EFEMP1,ECM Glycoproteins,Fibulins,4.3051478104851615,0.20905213,True,23.43677064517915,MC,Unspecific,1.3140743
ELN,ECM Glycoproteins,Elastic Fibers,4.060256029383598,0.20549458,True,30.436556507547984,EC,Medulla,0.85046643
FBLN5,ECM Glycoproteins,Fibulins,2.7803350092443813,0.14066292,True,16.30913482028768,MC,Medulla,2.232762
NID1,ECM Glycoproteins,Nidogens,2.748706919434216,0.13021727,False,47.487462900422415,NC Derivatives,Unspecific,1.1218516
THBS2,ECM Glycoproteins,Thrombospondins,2.718038968064717,0.13324542,False,17.997793937415807,Astrocyte,Unspecific,1.8300321
THBS4,ECM Glycoproteins,Thrombospondins,2.7058395619950817,0.13131568,False,9.161404312404368,Neuroepithelium,Ventral midbrain,1.2002902
FBLN2,ECM Glycoproteins,Fibulins,2.659752916843127,0.13069849,True,57.70461819844677,PSC,Unspecific,0.57028997
SPP1,ECM Glycoproteins,Core Glycoprotein,2.622476953852575,0.14599699,True,52.08333333333336,Microglia,Unspecific,1.6183237
TNR,ECM Glycoproteins,Tenascins,1.924286871293181,0.09931891,False,13.741741741741897,OPC,Ventral midbrain,1.0862875
EMILIN1,ECM Glycoproteins,Elastic Fibers,1.705318828089592,0.08349154,True,23.024780305642427,MC,Unspecific,0.941604
THBS1,ECM Glycoproteins,Thrombospondins,1.6074411858734916,0.08066664,True,5.956401596561342,NC Derivatives,Unspecific,1.6876887
POSTN,ECM Glycoproteins,Core Glycoprotein,1.3038680024269165,0.07577686,True,19.730887098410406,MC,Unspecific,1.0419602
TNXB,ECM Glycoproteins,Tenascins,1.2329307152810427,0.059909664,False,7.945527976782936,MC,Ventral midbrain,0.62403405
NID2,ECM Glycoproteins,Nidogens,1.2097744352413864,0.057786644,True,15.934909425851963,NC Derivatives,Unspecific,1.1873262
RPSA,ECM Receptors,Laminin Receptors,89.3594634054386,6.5172973,False,99.8628257887552,PSC,Dorsal telencephalon,0.1436413
