gene_symbol,pct_cells_expressing,mean expression,is_hvg_in_atlas,Category,Subcategory,Matrisome Division,passes_global_filter,max_pct_any_celltype,passes_celltype_filter,top_celltype,top_region,temporal_cv,passes_combined,hvg_passes_combined
COL6A1,22.25211202238033,1.1474625,True,Collagens,Beaded Filament,Core Matrisome,True,68.03840877915144,True,MC,Ventral midbrain,0.32044244,True,True
COL4A2,15.494827113004328,0.78863513,False,Collagens,Basement Membrane / Network,Core Matrisome,True,65.70644718793048,True,PSC,Unspecific,0.7105982,True,False
COL4A5,13.215176061148862,0.6866173,False,Collagens,Basement Membrane / Network,Core Matrisome,True,61.636945587564476,True,PSC,Dorsal midbrain,0.9792509,True,False
COL11A1,11.95185978814241,0.61527437,False,Collagens,Fibrillar,Core Matrisome,True,36.3081134079566,True,Astrocyte,Unspecific,0.73786426,True,False
COL4A6,10.541755291195283,0.5392851,False,Collagens,Basement Membrane / Network,Core Matrisome,True,62.780064014633574,True,PSC,Dorsal midbrain,0.9946348,True,False
COL6A2,10.472117014881116,0.535148,True,Collagens,Beaded Filament,Core Matrisome,True,66.9410150891651,True,MC,Unspecific,0.56476206,True,True
COL18A1,9.751166003404764,0.48686802,False,Collagens,Multiplexin,Core Matrisome,True,84.63648834019479,True,PSC,Unspecific,1.1609453,True,False
COL9A3,7.789659647856491,0.40518555,False,Collagens,FACIT,Core Matrisome,True,20.759030635573687,True,PSC,Dorsal telencephalon,0.74844545,True,False
COL4A1,7.460332162708147,0.3690629,True,Collagens,Basement Membrane / Network,Core Matrisome,True,69.59304983996542,True,PSC,Unspecific,0.87091935,True,True
COL2A1,7.315464215631231,0.37816826,True,Collagens,Fibrillar,Core Matrisome,True,81.61865569273236,True,PSC,Unspecific,1.7013068,True,True
COL1A2,6.024755757717475,0.34797454,True,Collagens,Fibrillar,Core Matrisome,True,63.60659093235634,True,NC Derivatives,Unspecific,0.8196493,True,True
COL9A1,4.928673009599844,0.2409326,False,Collagens,FACIT,Core Matrisome,True,17.784030799769766,True,CP,Unspecific,1.1747599,True,False
