,0-7d,7-14d,14-30d,30-60d,60-90d,90-120d,120-180d,180-270d,270-365d,365-450d
COL1A1,0.08388033,0.38744995,0.2645138,0.14492553,0.2783414,0.16568698,0.19852011,0.018654605,0.009853029,0.04116836
COL1A2,1.0386673,0.7775364,0.60251683,0.27368334,0.48991957,0.28480083,0.24650782,0.029808084,0.0,0.259821
COL2A1,4.021841,1.5128652,1.676325,0.25685576,0.094787285,0.028876906,0.01250363,0.0017883871,0.02465215,0.06606555
COL3A1,0.0030921078,0.008072897,0.06231376,0.123734035,0.26732716,0.15398511,0.19021659,0.0023800726,0.0,0.13071492
COL4A1,1.5235732,2.0003421,0.6197792,0.24338767,0.35121155,0.25460204,0.4953973,0.49146324,0.09929495,1.4038948
COL4A2,2.875354,1.7963566,1.3518043,0.7595147,0.7343799,0.50519645,0.6915913,0.54378164,0.31375298,1.8090016
COL4A3,0.057832226,0.00088886824,0.012894052,0.0066270432,0.015930232,0.015081426,0.024989178,0.0001391789,0.0,0.0
COL4A4,0.034329236,0.025037972,0.023236549,0.015349056,0.021700488,0.014236838,0.018805666,0.0015830761,0.0,0.042703923
COL4A5,3.7709112,2.0854013,1.3933052,0.5581821,0.61428404,0.39815104,0.65889484,0.36810726,0.14140871,1.237061
COL4A6,2.4197366,1.8838847,1.2003323,0.5895619,0.35419667,0.24383676,0.3067795,0.15063964,0.024015542,0.88788646
COL5A1,0.48838818,0.20223953,0.19111273,0.14711444,0.23470694,0.14423703,0.16574305,0.050031874,0.00941418,0.09260357
COL5A2,0.49122083,0.24768303,0.36663106,0.17421678,0.23522149,0.15740687,0.28506082,0.16513048,0.020976227,0.37604886
COL5A3,0.04581669,0.100646056,0.033102747,0.02221063,0.044302613,0.040287506,0.10162702,0.208792,0.023476845,0.22488421
COL6A1,0.8014363,0.88060695,1.5958787,1.1082692,1.2776859,1.0011444,1.0628599,0.6651909,0.47624525,0.9350506
COL6A2,0.15518099,0.48921975,0.5208317,0.41369244,0.80165184,0.65651065,0.5038231,0.15041706,0.06587649,0.3856228
COL6A3,0.005358005,0.02247813,0.028578173,0.051453892,0.11519654,0.06175426,0.06492803,0.004147112,0.0060238005,0.0
COL6A5,0.0015958098,0.0008150756,0.0011137266,0.000995156,0.001348681,0.00089085236,0.0013310867,8.584963e-05,0.0,0.0
COL6A6,0.06999392,0.011183273,0.02884884,0.010159007,0.02899844,0.017015804,0.022024112,0.0,0.0,0.04521546
COL7A1,0.13559376,0.11913814,0.12984411,0.10257039,0.13294548,0.12530063,0.18696703,0.11500659,0.0251146,0.06401439
COL8A1,0.012986479,0.0038430318,0.03633535,0.017453253,0.038696554,0.03680952,0.031043498,0.0023266987,0.0017159055,0.37032768
COL8A2,0.0045939656,0.0067578875,0.014060946,0.02629665,0.021800032,0.015386864,0.016756216,0.0011139356,0.0,0.0
COL9A1,0.67399204,1.3459771,0.5751881,0.2795677,0.16502635,0.08519732,0.101134166,0.049927734,0.07804271,0.14830351
COL9A2,0.12524231,0.31157237,0.31451416,0.23152024,0.20632282,0.100023545,0.11732437,0.065148056,0.043884806,0.058881547
COL9A3,0.048401035,0.7306005,0.15956269,0.343385,0.5356323,0.59414357,0.38985842,0.31912476,0.0054686167,0.12359279
COL10A1,0.2043687,0.003167288,0.0245312,0.0041322783,0.014511403,0.010256942,0.014473425,0.00091402396,0.0,0.0
COL11A1,1.3762437,1.3185692,0.6837052,0.5795748,0.58021605,0.48881376,0.7784436,0.84777814,0.113675445,2.5850446
COL11A2,0.081820115,0.019353034,0.035448126,0.03798519,0.054138478,0.060941707,0.09190869,0.03373621,0.0074700946,0.0
COL12A1,0.02333779,0.032591175,0.045223456,0.05369125,0.10080782,0.064882785,0.1021474,0.0020791765,0.0,0.021829061
COL13A1,0.22206108,0.4706377,0.0746697,0.024360426,0.036416646,0.019858504,0.011140499,0.0011391701,0.02475114,0.0
COL14A1,0.24308208,0.56256974,0.032850396,0.043110788,0.08641283,0.06619098,0.07615935,0.00093742844,0.0,0.06974195
COL15A1,0.026748624,0.015206122,0.011689521,0.019677782,0.037139907,0.027284048,0.05179858,0.0009948377,0.0,0.0
COL16A1,0.010803353,0.12032851,0.029530827,0.1015905,0.19506156,0.1400269,0.15604717,0.10835646,0.015826942,0.0628025
COL17A1,0.022590155,0.17464949,0.027988235,0.008716199,0.013150174,0.008922215,0.017134305,0.0031735704,0.0,0.38521507
COL18A1,2.1936522,2.14517,1.0287125,0.46229464,0.42226478,0.28494436,0.29666013,0.06804,0.029362202,0.1376344
COL19A1,0.027875949,0.007867711,0.024262298,0.021558238,0.04235775,0.02267608,0.02805559,0.02811765,0.0,0.0
COL20A1,0.0045001437,0.0049703345,0.014091193,0.013245697,0.020904599,0.017169544,0.03183364,0.0026352897,0.012120157,0.0
COL21A1,0.20055178,0.094834566,0.051882528,0.055838868,0.1134103,0.053551614,0.11070336,0.0027105762,0.0,0.26680452
COL22A1,0.075235374,0.02642882,0.06439912,0.020741515,0.025248349,0.026648337,0.06451761,0.09890817,0.0022305797,0.0
COL23A1,0.7572711,0.08679344,0.26109374,0.060669646,0.23451877,0.20429847,0.15560105,0.010759321,0.009024628,0.19153528
COL24A1,0.022206424,0.011439245,0.07963483,0.0439175,0.04775103,0.01898797,0.026228769,0.0010995182,0.0037645395,0.078685746
COL25A1,0.4481305,0.078888975,0.14715603,0.086894944,0.15959173,0.13068482,0.14998503,0.024515046,0.019834124,0.095888555
COL26A1,0.77135384,0.95503455,0.3947298,0.17770647,0.14712216,0.13376504,0.13394304,0.024786785,0.03474007,0.0
COL27A1,0.7933332,0.6670624,0.3577226,0.12572187,0.23956637,0.16920665,0.27820328,0.21050934,0.031830575,0.4824519
COL28A1,0.081770696,0.014241338,0.059234727,0.018406909,0.047856808,0.023753718,0.054299857,0.0113317855,0.0038942487,0.1063478
LAMA1,2.368409,1.7795303,0.737261,0.17347294,0.1748449,0.12284662,0.21806209,0.09983868,0.042213544,0.89282453
LAMA2,0.09623415,0.057633873,0.06476803,0.049983073,0.13226509,0.07485579,0.13040191,0.007309563,0.0018399175,0.31660593
LAMA3,0.018199828,0.007192169,0.033727802,0.038096953,0.047619894,0.03519413,0.05120983,0.009018892,0.0,0.17247763
LAMA4,0.046166185,0.07416503,0.1268798,0.1161565,0.20336142,0.16137148,0.36324057,0.5032619,0.013488676,1.8209083
LAMA5,0.47933924,0.6636625,0.36012128,0.22241083,0.27079555,0.24197906,0.39826074,0.49638218,0.11065416,0.44080058
LAMB1,1.2021775,1.774087,0.47045657,0.3065211,0.3221991,0.30981347,0.33170763,0.11311632,0.13587803,0.6225602
LAMB2,0.57842594,0.45862383,0.49096933,0.23272012,0.36504048,0.25972554,0.518426,0.74736345,0.118227944,3.6775167
LAMB3,0.0013239204,0.0023358064,0.008972684,0.03331839,0.029921422,0.015057687,0.017087698,0.02813954,0.0,0.0
LAMB4,0.038668472,0.0020173746,0.09665017,0.026329732,0.054149102,0.03437368,0.064187884,0.016986923,0.0036376186,0.81042165
LAMC1,1.1311873,1.9003743,0.5969759,0.2736258,0.41342527,0.37593937,0.5873832,0.47461665,0.20441042,2.1535285
LAMC2,0.0076429383,0.046723474,0.033191264,0.027400348,0.025741467,0.038922444,0.05660135,0.023852501,0.0020781318,0.3627983
LAMC3,0.008846879,0.021368396,0.018761052,0.009849612,0.02199804,0.009290978,0.009935712,0.0013007143,0.008557206,0.04059273
